,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Calma - Remix","Pedro Capó",2272852,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
2,"No Te Enamores","Paloma Mami",2103505,https://open.spotify.com/track/0EJu1RBtxzldMG2peczuPv
3,"Adan y Eva","Paulo Londra",1957504,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
4,Amanece,"Anuel AA",1815852,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
5,"Not Steady","Paloma Mami",1572154,https://open.spotify.com/track/42ArfZUgGo3k5btIHp08it
6,"MIA (feat. Drake)","Bad Bunny",1502717,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
7,Adictiva,"Daddy Yankee",1381316,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
8,Imposible,"Luis Fonsi",1197620,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1187607,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
10,"Cuando Te Besé","Becky G",1113814,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
11,Desconocidos,"Mau y Ricky",984280,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
12,"Vaina Loca",Ozuna,970316,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
13,Bubalu,"Becky G",958424,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
14,BEBE,6ix9ine,932903,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
15,"Ella Quiere Beber - Remix","Anuel AA",914418,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
16,"Solo de Mi","Bad Bunny",905824,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
17,Hipócrita,"Anuel AA",891972,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
18,Culpables,"KAROL G",878622,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
19,"Ya No Tiene Novio","Sebastian Yatra",819990,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
20,PPP,"Kevin Roldan",779590,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
21,"Sigue Bailandome",Yannc,767778,https://open.spotify.com/track/0GmiGIxXDNrePrHBpijYDp
22,Reggaeton,"J Balvin",761183,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
23,"Reggaetón en lo Oscuro","Wisin & Yandel",743691,https://open.spotify.com/track/7LLXLd0pisbEAdIVK502VM
24,"Quiere Beber","Anuel AA",704847,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
25,"A Solas - Remix",Lunay,701280,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
26,"Tanta Falta","Bryant Myers",689847,https://open.spotify.com/track/0sPTfDSZgE3KvcvqaKPtEx
27,"Puntos Suspensivos","Piso 21",635274,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
28,"Sin Culpa (feat. DrefQuila)",Duki,611096,https://open.spotify.com/track/3dLiBBKbeUIhzGNeuo5JGS
29,"Hookah & Sheridan s","Tommy Boysen",590563,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH
30,Subete,"Lary Over",571199,https://open.spotify.com/track/6CWMm2mJOrKyDH4W1X5d06
31,"Amigos Con Derechos",Reik,571111,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
32,"Asesina - Remix",Brytiago,564220,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
33,"No Es Justo","J Balvin",552916,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
34,"No Me Acuerdo",Thalía,539403,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O
35,Créeme,"KAROL G",503193,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
36,"El Gil de Tu Ex",Santaferia,496635,https://open.spotify.com/track/3cUE3p7E39CzGjQoEsg7sM
37,"La player (Bandolera)","Zion & Lennox",487131,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
38,"NI BIEN NI MAL","Bad Bunny",458539,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
39,Ibiza,Ozuna,448439,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
40,"Te Boté - Remix","Nio Garcia",448273,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
41,"Mala Mía",Maluma,442571,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
42,Exhibicionista,DrefQuila,437283,https://open.spotify.com/track/7zrl664JsRglDmTlbCovAg
43,Hola,"Zion & Lennox",430661,https://open.spotify.com/track/2dYJKHEqAUTCk2U9zntaS1
44,"Algún Día Volveras",Santaferia,427812,https://open.spotify.com/track/27uAea0qcUz3a7jKnAT7KG
45,"A fuego",DrefQuila,426209,https://open.spotify.com/track/5gkSbR9E0jDgv65XeT5v5R
46,"Luz Apaga",Ozuna,424626,https://open.spotify.com/track/5Q3e16qE1RE5oilN3ukasm
47,"Chica Paranormal","Paulo Londra",419673,https://open.spotify.com/track/7zAGi1cps7yYhAajGXlFTH
48,"Sin Pijama","Becky G",415454,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
49,"Estamos Bien","Bad Bunny",395666,https://open.spotify.com/track/2OWVCFTolecLiGZPquvWvT
50,"Ta To Gucci (Remix)",Cauty,377434,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
51,MALA,6ix9ine,374711,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
52,"Querida Rosa",Cami,359173,https://open.spotify.com/track/6wBrZZ1LyiBxytLnpgnlhf
53,"thank u, next","Ariana Grande",354590,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
54,Sola,"Manuel Turizo",348345,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
55,Baby,Amenazzy,338577,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
56,"Si Estuviésemos Juntos","Bad Bunny",330234,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
57,"Cuando Nadie Ve",Morat,329795,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k
58,Callao,"Wisin & Yandel",327413,https://open.spotify.com/track/3gu0fRSgFuc4FmrtIv0DnC
59,"Ni Gucci Ni Prada","Kenny Man",318761,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
60,"La Romana","Bad Bunny",314299,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv
61,Devuelveme,Ozuna,313150,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
62,"Está Rico","Marc Anthony",310188,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg
63,"Me Vas a Extrañar - En Vivo","Damas Gratis",306318,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW
64,"Bohemian Rhapsody - 2011 Mix",Queen,299551,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
65,Déjalo,Nacho,297350,https://open.spotify.com/track/4VTTpwcAxVSQNzEZLi75d0
66,"Por Perro","Sebastian Yatra",290998,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
67,Aullando,"Wisin & Yandel",287465,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
68,"Te Vi","Piso 21",286446,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
69,"Girls Like You (feat. Cardi B)","Maroon 5",286413,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
70,"Cuando Perriabas","Bad Bunny",280176,https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc
71,"To My Love - Tainy Remix","Bomba Estéreo",279247,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
72,"Duro y Suave","Leslie Grace",274817,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
73,"Otra Noche en Miami","Bad Bunny",267657,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
74,"La Forma en Que Me Miras","Super Yei",264455,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW
75,"No Es Real",Cami,264022,https://open.spotify.com/track/1MinRPeRKZONS8Zoo9jjEg
76,Clandestino,Shakira,261641,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
77,"Baila Baila Baila",Ozuna,261176,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
78,Caro,"Bad Bunny",260887,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
79,"Nena Maldición (feat. Lenny Tavárez)","Paulo Londra",259743,https://open.spotify.com/track/2aMVyJSuDFFL1sTjJnvk7X
80,"Me Dijeron",Ozuna,257222,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
81,"Me Rehúso","Danny Ocean",256666,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
82,Asesina,Brytiago,252751,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
83,"Haciendo Nada",Santaferia,250261,https://open.spotify.com/track/0dlFCeKHsPhnLKPbqoOwwH
84,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",249529,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
85,"Serenata cruel","Villa Cariño",248329,https://open.spotify.com/track/152U4ecGSiYeKm2gnFc4wA
86,"Tú Y Yo (feat. Nicky Jam & Justin Quiles)",Valentino,243584,https://open.spotify.com/track/58smOywZbVu8AjWutppiQA
87,"Me Niego (feat. Ozuna & Wisin)",Reik,241623,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
88,"Suave (Remix)","El Alfa",241258,https://open.spotify.com/track/4phvdPGXE8MGXsTBhqB5ht
89,"Llegaste Tú",CNCO,240568,https://open.spotify.com/track/6tT4Ks1N04Ut0lSQ3xjSaZ
90,"Mocca - Remix","Lalo Ebratt",239153,https://open.spotify.com/track/1usoXi4f0BnMART4uActEA
91,"Madura (feat. Bad Bunny)",Cosculluela,233555,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
92,"Hacerlo de Día","Moral Distraida",232810,https://open.spotify.com/track/0nApFXPoSanA4n7j563Ind
93,"Epa Wei","Danny Ocean",228824,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
94,"Mala Mía - Remix",Maluma,227249,https://open.spotify.com/track/6sAwJPgaSQ9Q4XGnbx1gZb
95,"La Mentira",Brytiago,226407,https://open.spotify.com/track/59xZZeF6Ve0ZfCd7AcFvXr
96,"I Like It","Cardi B",226131,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
97,Booty,"C. Tangana",222422,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe
98,"Another One Bites The Dust - Remastered 2011",Queen,220397,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
99,"Pensando en Ti","Anuel AA",218766,https://open.spotify.com/track/3aY5VP7fEtVHfEc1o8eRNK
