1,7 rings,Ariana Grande,38174455,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-08,Global,Week,Region
2,Sucker,Jonas Brothers,34629196,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-03-08,Global,2019-03-08,Global
3,Shallow,Lady Gaga,31597226,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-03-08,Global,2019-03-08,Global
4,"break up with your girlfriend, i'm bored",Ariana Grande,29158856,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-03-08,Global,2019-03-08,Global
5,Con Calma,Daddy Yankee,28762413,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-03-08,Global,2019-03-08,Global
6,Wow.,Post Malone,24725973,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-03-08,Global,2019-03-08,Global
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,24372634,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,2019-03-08,Global,2019-03-08,Global
8,Dancing With A Stranger (with Normani),Sam Smith,20106639,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-03-08,Global,2019-03-08,Global
9,Happier,Marshmello,19429168,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-03-08,Global,2019-03-08,Global
10,Calma - Remix,Pedro Capó,19410814,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-03-08,Global,2019-03-08,Global
11,bury a friend,Billie Eilish,19078043,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019-03-08,Global,2019-03-08,Global
12,Secreto,Anuel AA,19047839,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-03-08,Global,2019-03-08,Global
13,Sweet but Psycho,Ava Max,18840441,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-03-08,Global,2019-03-08,Global
14,"thank u, next",Ariana Grande,18776174,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-03-08,Global,2019-03-08,Global
15,MIDDLE CHILD,J. Cole,18608001,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-03-08,Global,2019-03-08,Global
