1,7 rings,Ariana Grande,31265664,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-29,Global,Week,Region
42,Robbery,Juice WRLD,10875119,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2019-03-29,Global,2019-03-29,Global
43,SICKO MODE,Travis Scott,10836261,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-03-29,Global,2019-03-29,Global
44,Pure Water (with Migos),Mustard,10523200,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019-03-29,Global,2019-03-29,Global
45,Eastside (with Halsey & Khalid),benny blanco,10424197,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-03-29,Global,2019-03-29,Global
46,Desconocidos,Mau y Ricky,10368876,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-03-29,Global,2019-03-29,Global
47,Be Alright,Dean Lewis,10293463,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k,2019-03-29,Global,2019-03-29,Global
48,Better Now,Post Malone,10186626,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-03-29,Global,2019-03-29,Global
49,Someone You Loved,Lewis Capaldi,10130658,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-03-29,Global,2019-03-29,Global
50,Look Back at It,A Boogie Wit da Hoodie,10038117,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-03-29,Global,2019-03-29,Global
51,Who Do You Love,The Chainsmokers,9900636,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019-03-29,Global,2019-03-29,Global
52,Te Vi,Piso 21,9636664,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-03-29,Global,2019-03-29,Global
53,Thotiana,Blueface,9540171,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019-03-29,Global,2019-03-29,Global
54,Un Año,Sebastian Yatra,9388938,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp,2019-03-29,Global,2019-03-29,Global
55,lovely,Billie Eilish,9287370,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-03-29,Global,2019-03-29,Global
56,when the party's over,Billie Eilish,9140544,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-03-29,Global,2019-03-29,Global
57,Girls Like You (feat. Cardi B),Maroon 5,9032532,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-03-29,Global,2019-03-29,Global
58,On My Way,Alan Walker,8944636,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,2019-03-29,Global,2019-03-29,Global
59,Mixed Personalities (feat. Kanye West),YNW Melly,8922507,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,2019-03-29,Global,2019-03-29,Global
60,Amanece,Anuel AA,8871666,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-03-29,Global,2019-03-29,Global
61,a lot,21 Savage,8731160,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-03-29,Global,2019-03-29,Global
62,Ella Quiere Beber - Remix,Anuel AA,8560024,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,2019-03-29,Global,2019-03-29,Global
63,rockstar (feat. 21 Savage),Post Malone,8535641,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-03-29,Global,2019-03-29,Global
64,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,8534033,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-03-29,Global,2019-03-29,Global
65,Lucid Dreams,Juice WRLD,8512042,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-03-29,Global,2019-03-29,Global
66,Better,Khalid,8435277,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-03-29,Global,2019-03-29,Global
67,Fast,Juice WRLD,8372774,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ,2019-03-29,Global,2019-03-29,Global
68,ZEZE (feat. Travis Scott & Offset),Kodak Black,8276948,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-03-29,Global,2019-03-29,Global
69,SAD!,XXXTENTACION,8229767,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-03-29,Global,2019-03-29,Global
70,So Am I,Ava Max,8051452,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,2019-03-29,Global,2019-03-29,Global
71,Always Remember Us This Way,Lady Gaga,8041186,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019-03-29,Global,2019-03-29,Global
72,Drip Too Hard (Lil Baby & Gunna),Lil Baby,7979031,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-03-29,Global,2019-03-29,Global
73,Esclavo de Tus Besos,Manuel Turizo,7759395,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX,2019-03-29,Global,2019-03-29,Global
74,Youngblood,5 Seconds of Summer,7668316,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-03-29,Global,2019-03-29,Global
75,Te Robaré,Nicky Jam,7640476,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-03-29,Global,2019-03-29,Global
76,Last Hurrah,Bebe Rexha,7618480,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy,2019-03-29,Global,2019-03-29,Global
77,Bad Liar,Imagine Dragons,7603283,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-03-29,Global,2019-03-29,Global
78,Saturday Nights,Khalid,7597134,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-03-29,Global,2019-03-29,Global
79,Moonlight,XXXTENTACION,7503121,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-03-29,Global,2019-03-29,Global
80,Fingías,Paloma Mami,7397572,https://open.spotify.com/track/7o0oY5wRcoV7oPuDhD2J1z,2019-03-29,Global,2019-03-29,Global
81,Walk Me Home,P!nk,7364142,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE,2019-03-29,Global,2019-03-29,Global
82,Don't Stop Me Now - 2011 Mix,Queen,7243382,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-03-29,Global,2019-03-29,Global
83,In My Mind,Dynoro,7217684,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-03-29,Global,2019-03-29,Global
84,Wake Up in the Sky,Gucci Mane,7195358,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-03-29,Global,2019-03-29,Global
85,Mo Bamba,Sheck Wes,7173158,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-03-29,Global,2019-03-29,Global
86,Another One Bites The Dust - Remastered 2011,Queen,7124751,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-03-29,Global,2019-03-29,Global
87,2002,Anne-Marie,7113548,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-03-29,Global,2019-03-29,Global
88,Shape of You,Ed Sheeran,7020463,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-03-29,Global,2019-03-29,Global
89,I Like It,Cardi B,6956444,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-03-29,Global,2019-03-29,Global
90,Adictiva,Daddy Yankee,6876971,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-03-29,Global,2019-03-29,Global
91,Promises (with Sam Smith),Calvin Harris,6799482,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-03-29,Global,2019-03-29,Global
92,idontwannabeyouanymore,Billie Eilish,6786616,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,2019-03-29,Global,2019-03-29,Global
93,Price On My Head (feat. The Weeknd),NAV,6755123,https://open.spotify.com/track/4RbbzNY4MEcgzewYWkIsGu,2019-03-29,Global,2019-03-29,Global
94,Say My Name,David Guetta,6743771,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-03-29,Global,2019-03-29,Global
95,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,6705694,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-03-29,Global,2019-03-29,Global
96,Blackberry Sky,Eno,6705582,https://open.spotify.com/track/4cawYWrqMRz0T0hOIVxk6j,2019-03-29,Global,2019-03-29,Global
97,Confessions of a Dangerous Mind,Logic,6662540,https://open.spotify.com/track/5CE0V7z1ePOZQNJNpWxYGA,2019-03-29,Global,2019-03-29,Global
98,Believer,Imagine Dragons,6659263,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-03-29,Global,2019-03-29,Global
99,Body (feat. brando),Loud Luxury,6634836,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-03-29,Global,2019-03-29,Global
100,Splashin,Rich The Kid,6632341,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO,2019-03-29,Global,2019-03-29,Global
101,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,6605984,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,2019-03-29,Global,2019-03-29,Global
102,Taste (feat. Offset),Tyga,6490892,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-03-29,Global,2019-03-29,Global
103,Faucet Failure,Ski Mask The Slump God,6412949,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,2019-03-29,Global,2019-03-29,Global
104,Soltera,Lunay,6407798,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM,2019-03-29,Global,2019-03-29,Global
105,I Like Me Better,Lauv,6379624,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-03-29,Global,2019-03-29,Global
106,Just You and I,Tom Walker,6374512,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo,2019-03-29,Global,2019-03-29,Global
107,Perfect,Ed Sheeran,6370396,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-03-29,Global,2019-03-29,Global
108,Love Someone,Lukas Graham,6342412,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-03-29,Global,2019-03-29,Global
109,Jocelyn Flores,XXXTENTACION,6292245,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-03-29,Global,2019-03-29,Global
110,Psycho (feat. Ty Dolla $ign),Post Malone,6262917,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019-03-29,Global,2019-03-29,Global
111,Reggaeton,J Balvin,6158944,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-03-29,Global,2019-03-29,Global
112,no tears left to cry,Ariana Grande,6135448,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019-03-29,Global,2019-03-29,Global
113,Aullando,Wisin & Yandel,6129405,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,2019-03-29,Global,2019-03-29,Global
114,God's Plan,Drake,6069522,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-03-29,Global,2019-03-29,Global
115,Si Se Da,Myke Towers,6024325,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,2019-03-29,Global,2019-03-29,Global
116,Nights Like This (feat. Ty Dolla $ign),Kehlani,5994314,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy,2019-03-29,Global,2019-03-29,Global
117,Maman ne le sait pas (feat. Niska),Ninho,5971496,https://open.spotify.com/track/5c2HadbVTsMKjja4gohEFI,2019-03-29,Global,2019-03-29,Global
118,Undrunk,FLETCHER,5881856,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d,2019-03-29,Global,2019-03-29,Global
119,The Bones,Maren Morris,5864366,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL,2019-03-29,Global,2019-03-29,Global
120,No Sleep (feat. Bonn),Martin Garrix,5858398,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,2019-03-29,Global,2019-03-29,Global
121,Lost In Japan,Shawn Mendes,5858167,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019-03-29,Global,2019-03-29,Global
122,One Kiss (with Dua Lipa),Calvin Harris,5848119,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019-03-29,Global,2019-03-29,Global
123,Wir ticken,Capital Bra,5823431,https://open.spotify.com/track/1mdJ39D1lrR3aWIOhgeNaE,2019-03-29,Global,2019-03-29,Global
124,I,Lil Skies,5796481,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT,2019-03-29,Global,2019-03-29,Global
125,Under Pressure - Remastered,Queen,5776360,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019-03-29,Global,2019-03-29,Global
126,Wolke 10,MERO,5744882,https://open.spotify.com/track/200cTjC6si5Xz9af2QeHi2,2019-03-29,Global,2019-03-29,Global
127,Money,Cardi B,5735479,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019-03-29,Global,2019-03-29,Global
128,bellyache,Billie Eilish,5708943,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,2019-03-29,Global,2019-03-29,Global
129,Wow. - Remix,Post Malone,5698521,https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk,2019-03-29,Global,2019-03-29,Global
130,365,Zedd,5690510,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d,2019-03-29,Global,2019-03-29,Global
131,Puerto Rico,Fero47,5656271,https://open.spotify.com/track/0ypCvaP431mEM6znlVHNRP,2019-03-29,Global,2019-03-29,Global
132,Thunder,Imagine Dragons,5611225,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019-03-29,Global,2019-03-29,Global
133,Créeme,KAROL G,5602634,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-03-29,Global,2019-03-29,Global
134,Natural,Imagine Dragons,5559354,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019-03-29,Global,2019-03-29,Global
135,Too Good At Goodbyes,Sam Smith,5552556,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019-03-29,Global,2019-03-29,Global
136,needy,Ariana Grande,5551648,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ,2019-03-29,Global,2019-03-29,Global
137,Hear Me Calling,Juice WRLD,5513336,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk,2019-03-29,Global,2019-03-29,Global
138,Say You Won't Let Go,James Arthur,5508121,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-03-29,Global,2019-03-29,Global
139,Nonstop,Drake,5503296,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019-03-29,Global,2019-03-29,Global
140,IDGAF,Dua Lipa,5464760,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2019-03-29,Global,2019-03-29,Global
141,NASA,Ariana Grande,5403530,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq,2019-03-29,Global,2019-03-29,Global
142,Speechless (feat. Erika Sirola),Robin Schulz,5346650,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-03-29,Global,2019-03-29,Global
143,Bola Rebola,Tropkillaz,5339885,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg,2019-03-29,Global,2019-03-29,Global
144,Envy Me,Calboy,5338987,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX,2019-03-29,Global,2019-03-29,Global
145,Bubalu,Becky G,5331484,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-03-29,Global,2019-03-29,Global
146,Beautiful (feat. Camila Cabello),Bazzi,5322352,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-03-29,Global,2019-03-29,Global
147,NI BIEN NI MAL,Bad Bunny,5315600,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-03-29,Global,2019-03-29,Global
148,Havana (feat. Young Thug),Camila Cabello,5314702,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019-03-29,Global,2019-03-29,Global
149,In My Feelings,Drake,5313557,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019-03-29,Global,2019-03-29,Global
150,ocean eyes,Billie Eilish,5303538,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019-03-29,Global,2019-03-29,Global
151,Leave Me Alone,Flipp Dinero,5281397,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-03-29,Global,2019-03-29,Global
152,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,5272370,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-03-29,Global,2019-03-29,Global
153,The Middle,Zedd,5268676,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019-03-29,Global,2019-03-29,Global
154,Ya Salame,Luciano,5209795,https://open.spotify.com/track/0EDSU9JYeKABA14OcOuM7b,2019-03-29,Global,2019-03-29,Global
155,No New Friends,Sia,5209012,https://open.spotify.com/track/3Y7a0typ6ik1KscmebXd6D,2019-03-29,Global,2019-03-29,Global
156,Best Part (feat. Daniel Caesar),H.E.R.,5175320,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019-03-29,Global,2019-03-29,Global
157,I Fall Apart,Post Malone,5147730,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019-03-29,Global,2019-03-29,Global
158,Pass auf wen du liebst,Ufo361,5141582,https://open.spotify.com/track/5NsCv3I7o0f6vSQScG01f1,2019-03-29,Global,2019-03-29,Global
159,changes,XXXTENTACION,5109116,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,2019-03-29,Global,2019-03-29,Global
160,Let You Love Me,Rita Ora,5074361,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019-03-29,Global,2019-03-29,Global
161,Congratulations,Post Malone,5067033,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2019-03-29,Global,2019-03-29,Global
162,bloodline,Ariana Grande,5066429,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX,2019-03-29,Global,2019-03-29,Global
163,This Feeling,The Chainsmokers,5060291,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019-03-29,Global,2019-03-29,Global
164,Shotgun,George Ezra,5039019,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019-03-29,Global,2019-03-29,Global
165,Solo (feat. Demi Lovato),Clean Bandit,5026320,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019-03-29,Global,2019-03-29,Global
166,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,5001853,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX,2019-03-29,Global,2019-03-29,Global
167,FRIENDS,Marshmello,4986018,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2019-03-29,Global,2019-03-29,Global
168,Contra La Pared,Sean Paul,4972511,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1,2019-03-29,Global,2019-03-29,Global
169,New Rules,Dua Lipa,4961410,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,2019-03-29,Global,2019-03-29,Global
170,Imposible,Luis Fonsi,4937529,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF,2019-03-29,Global,2019-03-29,Global
171,We Will Rock You - Remastered,Queen,4931818,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,2019-03-29,Global,2019-03-29,Global
172,imagine,Ariana Grande,4914589,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow,2019-03-29,Global,2019-03-29,Global
173,Somebody To Love - 2011 Mix,Queen,4875303,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI,2019-03-29,Global,2019-03-29,Global
174,Te Boté - Remix,Nio Garcia,4868733,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019-03-29,Global,2019-03-29,Global
175,Sola,Manuel Turizo,4848423,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-03-29,Global,2019-03-29,Global
