42,Lalala,Y2K,11241445,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-12-13,Global,2019-12-13,Global
43,Before You Go,Lewis Capaldi,11229616,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2019-12-13,Global,2019-12-13,Global
44,BOP,DaBaby,11150685,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,2019-12-13,Global,2019-12-13,Global
45,Goodbyes (Feat. Young Thug),Post Malone,11034720,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-12-13,Global,2019-12-13,Global
46,Hate Me (with Juice WRLD),Ellie Goulding,11007915,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,2019-12-13,Global,2019-12-13,Global
47,"10,000 Hours (with Justin Bieber)",Dan + Shay,10724512,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019-12-13,Global,2019-12-13,Global
48,Old Town Road - Remix,Lil Nas X,10377040,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-12-13,Global,2019-12-13,Global
49,Callaita,Bad Bunny,10362586,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-12-13,Global,2019-12-13,Global
50,Legends,Juice WRLD,10321702,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,2019-12-13,Global,2019-12-13,Global
51,Liar,Camila Cabello,10318136,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,2019-12-13,Global,2019-12-13,Global
52,Shallow,Lady Gaga,10195745,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-12-13,Global,2019-12-13,Global
53,No Me Conoce - Remix,Jhay Cortez,10022540,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-12-13,Global,2019-12-13,Global
54,Do They Know It's Christmas? - 1984 Version,Band Aid,9945046,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,2019-12-13,Global,2019-12-13,Global
55,Ransom,Lil Tecca,9881640,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,2019-12-13,Global,2019-12-13,Global
56,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,9880106,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,2019-12-13,Global,2019-12-13,Global
57,Lights Up,Harry Styles,9801120,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB,2019-12-13,Global,2019-12-13,Global
58,All Girls Are The Same,Juice WRLD,9718306,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,2019-12-13,Global,2019-12-13,Global
59,Holly Jolly Christmas,Michael Bublé,9542575,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,2019-12-13,Global,2019-12-13,Global
60,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,9375430,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts,2019-12-13,Global,2019-12-13,Global
61,Adicto (with Anuel AA & Ozuna),Tainy,9369455,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,2019-12-13,Global,2019-12-13,Global
62,when the party's over,Billie Eilish,9328424,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2019-12-13,Global,2019-12-13,Global
63,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,9306102,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2019-12-13,Global,2019-12-13,Global
64,Lose Control,MEDUZA,9212083,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2019-12-13,Global,2019-12-13,Global
65,Trampoline (with ZAYN),SHAED,9080068,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k,2019-12-13,Global,2019-12-13,Global
66,Wow.,Post Malone,8970834,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,2019-12-13,Global,2019-12-13,Global
67,lovely (with Khalid),Billie Eilish,8962747,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2019-12-13,Global,2019-12-13,Global
68,Ayy Macarena,Tyga,8925543,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2019-12-13,Global,2019-12-13,Global
69,Underneath the Tree,Kelly Clarkson,8905328,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,2019-12-13,Global,2019-12-13,Global
70,It's You,Ali Gatie,8799748,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2019-12-13,Global,2019-12-13,Global
71,Que Tire Pa Lante,Daddy Yankee,8761277,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,2019-12-13,Global,2019-12-13,Global
72,Feliz Navidad,José Feliciano,8691550,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,2019-12-13,Global,2019-12-13,Global
73,Whine Up,Nicky Jam,8453127,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,2019-12-13,Global,2019-12-13,Global
74,Without Me,Halsey,8335867,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-12-13,Global,2019-12-13,Global
75,Happier,Marshmello,8314498,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-12-13,Global,2019-12-13,Global
76,No Idea,Don Toliver,8266537,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,2019-12-13,Global,2019-12-13,Global
