42,I Know,Post Malone,11954473,https://open.spotify.com/track/2sfZgYusD8bBvB7qWekvSx,2019-09-13,Global,2019-09-13,Global
43,"fuck, i'm lonely",Lauv,11906737,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0,2019-09-13,Global,2019-09-13,Global
44,Internet,Post Malone,11850920,https://open.spotify.com/track/4RzpCjByV1NWUGKVQGuej6,2019-09-13,Global,2019-09-13,Global
45,Soltera (Remix),Lunay,11802714,https://open.spotify.com/track/2qMnZF5Ja2WvmfbblByQza,2019-09-13,Global,2019-09-13,Global
46,Piece Of Your Heart,MEDUZA,11722564,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019-09-13,Global,2019-09-13,Global
47,Slide Away,Miley Cyrus,11236538,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf,2019-09-13,Global,2019-09-13,Global
48,It's You,Ali Gatie,11098955,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,2019-09-13,Global,2019-09-13,Global
49,The London (feat. J. Cole & Travis Scott),Young Thug,10786212,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,2019-09-13,Global,2019-09-13,Global
50,Higher Love,Kygo,10765320,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019-09-13,Global,2019-09-13,Global
51,QUE PRETENDES,J Balvin,10278084,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-09-13,Global,2019-09-13,Global
52,Takeaway (feat. Lennon Stella),The Chainsmokers,10209736,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe,2019-09-13,Global,2019-09-13,Global
53,You Need To Calm Down,Taylor Swift,10156422,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,2019-09-13,Global,2019-09-13,Global
54,Shameless,Camila Cabello,10013820,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1,2019-09-13,Global,2019-09-13,Global
55,Good as Hell,Lizzo,9525733,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR,2019-09-13,Global,2019-09-13,Global
56,Motivation,Normani,9407600,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm,2019-09-13,Global,2019-09-13,Global
57,Shallow,Lady Gaga,9328939,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-09-13,Global,2019-09-13,Global
58,7 rings,Ariana Grande,9289242,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-09-13,Global,2019-09-13,Global
59,11 PM,Maluma,9285282,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-09-13,Global,2019-09-13,Global
60,The Man,Taylor Swift,9275606,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70,2019-09-13,Global,2019-09-13,Global
61,Con Altura,ROSALÍA,9041637,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-09-13,Global,2019-09-13,Global
62,Teeth,5 Seconds of Summer,8964349,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6,2019-09-13,Global,2019-09-13,Global
63,Sucker,Jonas Brothers,8510088,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2019-09-13,Global,2019-09-13,Global
