1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,34579416,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-18,Global,Week,Region
177,HUMBLE.,Kendrick Lamar,4619934,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2019-01-18,Global,2019-01-18,Global
178,Africa,TOTO,4605749,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2019-01-18,Global,2019-01-18,Global
179,Sin Pijama,Becky G,4599014,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2019-01-18,Global,2019-01-18,Global
180,Project Dreams,Marshmello,4598019,https://open.spotify.com/track/0PowxVSTY2uh1CPc8EPKyX,2019-01-18,Global,2019-01-18,Global
181,Mala Mía,Maluma,4594394,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019-01-18,Global,2019-01-18,Global
182,Mine,Bazzi,4580473,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR,2019-01-18,Global,2019-01-18,Global
183,Ibiza,Ozuna,4559773,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019-01-18,Global,2019-01-18,Global
184,Wonderwall - Remastered,Oasis,4553091,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,2019-01-18,Global,2019-01-18,Global
185,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,4543464,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p,2019-01-18,Global,2019-01-18,Global
186,Agora é Tudo Meu,Dennis DJ,4532933,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz,2019-01-18,Global,2019-01-18,Global
187,Happier,Ed Sheeran,4516997,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,2019-01-18,Global,2019-01-18,Global
188,Wolves,Selena Gomez,4509605,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,2019-01-18,Global,2019-01-18,Global
189,I'm Yours,Jason Mraz,4508828,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,2019-01-18,Global,2019-01-18,Global
190,Sola,Manuel Turizo,4503413,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-18,Global,2019-01-18,Global
191,All The Stars (with SZA),Kendrick Lamar,4491177,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,2019-01-18,Global,2019-01-18,Global
192,Young Dumb & Broke,Khalid,4470319,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2019-01-18,Global,2019-01-18,Global
193,Benzema,Capital Bra,4458789,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-18,Global,2019-01-18,Global
194,What Lovers Do,Maroon 5,4440425,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g,2019-01-18,Global,2019-01-18,Global
195,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,4432977,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ,2019-01-18,Global,2019-01-18,Global
196,We Will Rock You - Remastered,Queen,4405033,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,2019-01-18,Global,2019-01-18,Global
197,No Es Justo,J Balvin,4387910,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-18,Global,2019-01-18,Global
198,Puntos Suspensivos,Piso 21,4366454,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-18,Global,2019-01-18,Global
199,Rewrite The Stars,Zac Efron,4315717,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2019-01-18,Global,2019-01-18,Global
200,Something Just Like This,The Chainsmokers,4315233,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2019-01-18,Global,2019-01-18,Global
