1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,34579416,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-18,Global,Week,Region
41,Promises (with Sam Smith),Calvin Harris,10250381,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-18,Global,2019-01-18,Global
42,Wake Up in the Sky,Gucci Mane,10250367,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-18,Global,2019-01-18,Global
43,lovely,Billie Eilish,10105168,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-01-18,Global,2019-01-18,Global
44,imagine,Ariana Grande,10103504,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-18,Global,2019-01-18,Global
45,Desconocidos,Mau y Ricky,10008439,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-18,Global,2019-01-18,Global
46,Youngblood,5 Seconds of Summer,9802761,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-18,Global,2019-01-18,Global
47,Taste (feat. Offset),Tyga,9758103,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-01-18,Global,2019-01-18,Global
48,whoa (mind in awe),XXXTENTACION,9300180,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019-01-18,Global,2019-01-18,Global
49,I Like It,Cardi B,9170120,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-01-18,Global,2019-01-18,Global
50,Amanece,Anuel AA,9118091,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-18,Global,2019-01-18,Global
51,Solo de Mi,Bad Bunny,9091313,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-18,Global,2019-01-18,Global
52,Ruin My Life,Zara Larsson,8967200,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019-01-18,Global,2019-01-18,Global
53,a lot,21 Savage,8914262,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-01-18,Global,2019-01-18,Global
54,Bad Liar,Imagine Dragons,8807099,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-01-18,Global,2019-01-18,Global
55,Vaina Loca,Ozuna,8365033,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-18,Global,2019-01-18,Global
56,Money,Cardi B,8334798,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019-01-18,Global,2019-01-18,Global
57,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,8247911,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019-01-18,Global,2019-01-18,Global
58,Kiss and Make Up,Dua Lipa,8240958,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-18,Global,2019-01-18,Global
59,Love Someone,Lukas Graham,8222232,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-18,Global,2019-01-18,Global
60,Imposible,Luis Fonsi,8138425,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-18,Global,2019-01-18,Global
61,Natural,Imagine Dragons,8105259,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019-01-18,Global,2019-01-18,Global
62,God's Plan,Drake,8030900,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-01-18,Global,2019-01-18,Global
63,monster,21 Savage,8027341,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019-01-18,Global,2019-01-18,Global
64,Beautiful (feat. Camila Cabello),Bazzi,7972480,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-18,Global,2019-01-18,Global
65,Body (feat. brando),Loud Luxury,7953190,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-01-18,Global,2019-01-18,Global
66,Butterfly Doors,Lil Pump,7891274,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3,2019-01-18,Global,2019-01-18,Global
67,Jocelyn Flores,XXXTENTACION,7881734,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-01-18,Global,2019-01-18,Global
68,idontwannabeyouanymore,Billie Eilish,7765255,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,2019-01-18,Global,2019-01-18,Global
69,Nonstop,Drake,7702077,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019-01-18,Global,2019-01-18,Global
70,Let You Love Me,Rita Ora,7658132,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019-01-18,Global,2019-01-18,Global
71,no tears left to cry,Ariana Grande,7656592,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019-01-18,Global,2019-01-18,Global
72,In My Feelings,Drake,7646051,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019-01-18,Global,2019-01-18,Global
73,Cuando Te Besé,Becky G,7579621,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-18,Global,2019-01-18,Global
74,"Fire On Fire - From ""Watership Down""",Sam Smith,7546282,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND,2019-01-18,Global,2019-01-18,Global
75,Bubalu,Becky G,7538613,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-18,Global,2019-01-18,Global
76,Hope,The Chainsmokers,7513857,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019-01-18,Global,2019-01-18,Global
77,KIKA,6ix9ine,7470756,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019-01-18,Global,2019-01-18,Global
78,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,7443990,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019-01-18,Global,2019-01-18,Global
79,Shape of You,Ed Sheeran,7440049,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-18,Global,2019-01-18,Global
80,Baila Baila Baila,Ozuna,7382321,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-01-18,Global,2019-01-18,Global
