1,7 rings,Ariana Grande,43103015,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-01,Global,Week,Region
2,"break up with your girlfriend, i'm bored",Ariana Grande,33580067,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-03-01,Global,2019-03-01,Global
3,Shallow,Lady Gaga,31189177,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-03-01,Global,2019-03-01,Global
4,Con Calma,Daddy Yankee,28130862,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-03-01,Global,2019-03-01,Global
5,Wow.,Post Malone,25833463,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-03-01,Global,2019-03-01,Global
6,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,24843852,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,2019-03-01,Global,2019-03-01,Global
7,bury a friend,Billie Eilish,21867069,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019-03-01,Global,2019-03-01,Global
8,"thank u, next",Ariana Grande,21552414,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-03-01,Global,2019-03-01,Global
9,Happier,Marshmello,20863476,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-03-01,Global,2019-03-01,Global
10,Dancing With A Stranger (with Normani),Sam Smith,20808176,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-03-01,Global,2019-03-01,Global
11,Without Me,Halsey,20081601,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-03-01,Global,2019-03-01,Global
12,Calma - Remix,Pedro Capó,20006012,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-03-01,Global,2019-03-01,Global
13,Sweet but Psycho,Ava Max,19780582,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-03-01,Global,2019-03-01,Global
14,MIDDLE CHILD,J. Cole,19453080,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-03-01,Global,2019-03-01,Global
15,Secreto,Anuel AA,19256497,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-03-01,Global,2019-03-01,Global
16,Baila Baila Baila,Ozuna,16997583,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-03-01,Global,2019-03-01,Global
17,Talk,Khalid,16261230,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019-03-01,Global,2019-03-01,Global
18,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,15919714,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-03-01,Global,2019-03-01,Global
19,i'm so tired...,Lauv,15570596,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-03-01,Global,2019-03-01,Global
20,Robbery,Juice WRLD,15513136,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV,2019-03-01,Global,2019-03-01,Global
21,Going Bad (feat. Drake),Meek Mill,15421127,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-03-01,Global,2019-03-01,Global
22,MIA (feat. Drake),Bad Bunny,14885880,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-03-01,Global,2019-03-01,Global
23,Murder On My Mind,YNW Melly,14724717,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019-03-01,Global,2019-03-01,Global
24,Giant (with Rag'n'Bone Man),Calvin Harris,14484636,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-03-01,Global,2019-03-01,Global
25,High Hopes,Panic! At The Disco,14145185,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-03-01,Global,2019-03-01,Global
26,Adan y Eva,Paulo Londra,13440041,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-03-01,Global,2019-03-01,Global
27,SICKO MODE,Travis Scott,13224421,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-03-01,Global,2019-03-01,Global
28,a lot,21 Savage,13104394,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-03-01,Global,2019-03-01,Global
29,Thotiana,Blueface,13050694,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019-03-01,Global,2019-03-01,Global
30,Don't Call Me Up,Mabel,12959849,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-03-01,Global,2019-03-01,Global
31,Bohemian Rhapsody - 2011 Mix,Queen,12782523,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-03-01,Global,2019-03-01,Global
32,Please Me,Cardi B,12157526,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,2019-03-01,Global,2019-03-01,Global
33,Who Do You Love,The Chainsmokers,12154894,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019-03-01,Global,2019-03-01,Global
34,Eastside (with Halsey & Khalid),benny blanco,12145207,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-03-01,Global,2019-03-01,Global
35,Look Back at It,A Boogie Wit da Hoodie,11939155,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-03-01,Global,2019-03-01,Global
36,Desconocidos,Mau y Ricky,11404823,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-03-01,Global,2019-03-01,Global
37,bad idea,Ariana Grande,11188077,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg,2019-03-01,Global,2019-03-01,Global
38,Pure Water (with Migos),Mustard,11041777,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019-03-01,Global,2019-03-01,Global
39,Better Now,Post Malone,10917117,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-03-01,Global,2019-03-01,Global
40,ZEZE (feat. Travis Scott & Offset),Kodak Black,10889059,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-03-01,Global,2019-03-01,Global
41,needy,Ariana Grande,10838585,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ,2019-03-01,Global,2019-03-01,Global
42,NASA,Ariana Grande,10790342,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq,2019-03-01,Global,2019-03-01,Global
43,Girls Like You (feat. Cardi B),Maroon 5,10487513,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-03-01,Global,2019-03-01,Global
44,Drip Too Hard (Lil Baby & Gunna),Lil Baby,10408134,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-03-01,Global,2019-03-01,Global
45,Let Me Down Slowly,Alec Benjamin,10340218,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-03-01,Global,2019-03-01,Global
46,Be Alright,Dean Lewis,10278781,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-03-01,Global,2019-03-01,Global
47,bloodline,Ariana Grande,10251085,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX,2019-03-01,Global,2019-03-01,Global
48,Nights Like This (feat. Ty Dolla $ign),Kehlani,10224387,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy,2019-03-01,Global,2019-03-01,Global
49,Ella Quiere Beber - Remix,Anuel AA,10160456,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-03-01,Global,2019-03-01,Global
50,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,10025270,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-03-01,Global,2019-03-01,Global
51,Amanece,Anuel AA,9698473,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-03-01,Global,2019-03-01,Global
52,when the party's over,Billie Eilish,9609204,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-03-01,Global,2019-03-01,Global
53,imagine,Ariana Grande,9479460,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow,2019-03-01,Global,2019-03-01,Global
54,Legacy (feat. Travis Scott & 21 Savage),Offset,9430023,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99,2019-03-01,Global,2019-03-01,Global
55,Mo Bamba,Sheck Wes,9398125,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-03-01,Global,2019-03-01,Global
56,Lucid Dreams,Juice WRLD,9320821,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-03-01,Global,2019-03-01,Global
57,Better,Khalid,9310537,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-03-01,Global,2019-03-01,Global
58,Te Vi,Piso 21,9291315,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-03-01,Global,2019-03-01,Global
59,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,9266261,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-03-01,Global,2019-03-01,Global
60,SAD!,XXXTENTACION,9265711,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-03-01,Global,2019-03-01,Global
61,Un Año,Sebastian Yatra,9182732,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp,2019-03-01,Global,2019-03-01,Global
62,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,9145948,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-03-01,Global,2019-03-01,Global
63,Always Remember Us This Way,Lady Gaga,9105034,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019-03-01,Global,2019-03-01,Global
64,lovely,Billie Eilish,9071587,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-03-01,Global,2019-03-01,Global
65,rockstar (feat. 21 Savage),Post Malone,8888175,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-03-01,Global,2019-03-01,Global
66,Red Room,Offset,8779974,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq,2019-03-01,Global,2019-03-01,Global
67,365,Zedd,8720875,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d,2019-03-01,Global,2019-03-01,Global
68,Someone You Loved,Lewis Capaldi,8656444,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-03-01,Global,2019-03-01,Global
69,Moonlight,XXXTENTACION,8372074,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-03-01,Global,2019-03-01,Global
70,Wake Up in the Sky,Gucci Mane,8263914,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-03-01,Global,2019-03-01,Global
71,Promises (with Sam Smith),Calvin Harris,8243155,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-03-01,Global,2019-03-01,Global
72,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,8204210,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,2019-03-01,Global,2019-03-01,Global
73,Bola Rebola,Tropkillaz,8199863,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg,2019-03-01,Global,2019-03-01,Global
74,Adictiva,Daddy Yankee,8197999,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-03-01,Global,2019-03-01,Global
75,Saturday Nights,Khalid,8166810,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-03-01,Global,2019-03-01,Global
76,fake smile,Ariana Grande,8103498,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ,2019-03-01,Global,2019-03-01,Global
77,Youngblood,5 Seconds of Summer,8099723,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-03-01,Global,2019-03-01,Global
78,Don't Stop Me Now - 2011 Mix,Queen,8052760,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-03-01,Global,2019-03-01,Global
79,In My Mind,Dynoro,8022642,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-03-01,Global,2019-03-01,Global
80,Another One Bites The Dust - Remastered 2011,Queen,7971048,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-03-01,Global,2019-03-01,Global
81,I Like It,Cardi B,7697397,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-03-01,Global,2019-03-01,Global
82,2002,Anne-Marie,7507413,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-03-01,Global,2019-03-01,Global
83,Say My Name,David Guetta,7494266,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-03-01,Global,2019-03-01,Global
84,Think About You,Kygo,7377547,https://open.spotify.com/track/3Kuu5vASpXK8oRsxOvau6P,2019-03-01,Global,2019-03-01,Global
85,Walk Me Home,P!nk,7322437,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE,2019-03-01,Global,2019-03-01,Global
86,Shape of You,Ed Sheeran,7193233,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-03-01,Global,2019-03-01,Global
87,Taste (feat. Offset),Tyga,7178511,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-03-01,Global,2019-03-01,Global
88,no tears left to cry,Ariana Grande,7113308,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019-03-01,Global,2019-03-01,Global
89,Love Someone,Lukas Graham,7029702,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-03-01,Global,2019-03-01,Global
90,Money,Cardi B,6997843,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019-03-01,Global,2019-03-01,Global
91,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,6960262,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-03-01,Global,2019-03-01,Global
92,ghostin,Ariana Grande,6955097,https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB,2019-03-01,Global,2019-03-01,Global
93,Reggaeton,J Balvin,6945204,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-03-01,Global,2019-03-01,Global
94,NI BIEN NI MAL,Bad Bunny,6875659,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-03-01,Global,2019-03-01,Global
95,Body (feat. brando),Loud Luxury,6814835,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-03-01,Global,2019-03-01,Global
96,Bad Liar,Imagine Dragons,6803924,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-03-01,Global,2019-03-01,Global
97,Last Hurrah,Bebe Rexha,6786968,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy,2019-03-01,Global,2019-03-01,Global
98,Jocelyn Flores,XXXTENTACION,6773670,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-03-01,Global,2019-03-01,Global
99,Leave Me Alone,Flipp Dinero,6770756,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-03-01,Global,2019-03-01,Global
100,God's Plan,Drake,6756326,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-03-01,Global,2019-03-01,Global
101,Imposible,Luis Fonsi,6743099,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF,2019-03-01,Global,2019-03-01,Global
102,Armed And Dangerous,Juice WRLD,6686031,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,2019-03-01,Global,2019-03-01,Global
103,One Kiss (with Dua Lipa),Calvin Harris,6684934,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019-03-01,Global,2019-03-01,Global
104,Perfect,Ed Sheeran,6581444,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-03-01,Global,2019-03-01,Global
105,Under Pressure - Remastered,Queen,6524569,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019-03-01,Global,2019-03-01,Global
106,Believer,Imagine Dragons,6504119,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-03-01,Global,2019-03-01,Global
107,Beautiful (feat. Camila Cabello),Bazzi,6495882,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-03-01,Global,2019-03-01,Global
108,Lost In Japan,Shawn Mendes,6477672,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019-03-01,Global,2019-03-01,Global
109,Psycho (feat. Ty Dolla $ign),Post Malone,6475454,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019-03-01,Global,2019-03-01,Global
110,idontwannabeyouanymore,Billie Eilish,6461422,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,2019-03-01,Global,2019-03-01,Global
111,Bubalu,Becky G,6411851,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-03-01,Global,2019-03-01,Global
112,No Sleep (feat. Bonn),Martin Garrix,6397025,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,2019-03-01,Global,2019-03-01,Global
113,I Like Me Better,Lauv,6343998,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-03-01,Global,2019-03-01,Global
114,Natural,Imagine Dragons,6269069,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019-03-01,Global,2019-03-01,Global
115,Solo de Mi,Bad Bunny,6179801,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-03-01,Global,2019-03-01,Global
116,Speechless (feat. Erika Sirola),Robin Schulz,6171369,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-03-01,Global,2019-03-01,Global
117,Créeme,KAROL G,6112410,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-03-01,Global,2019-03-01,Global
118,Best Part (feat. Daniel Caesar),H.E.R.,6096293,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019-03-01,Global,2019-03-01,Global
119,Be Like Me (feat. Lil Wayne),Lil Pump,6083295,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,2019-03-01,Global,2019-03-01,Global
120,Let You Love Me,Rita Ora,6070746,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019-03-01,Global,2019-03-01,Global
121,IDGAF,Dua Lipa,6042164,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2019-03-01,Global,2019-03-01,Global
122,Splashin,Rich The Kid,5996837,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,2019-03-01,Global,2019-03-01,Global
123,in my head,Ariana Grande,5953696,https://open.spotify.com/track/4T652DlATVHe0jdLKaN3Bw,2019-03-01,Global,2019-03-01,Global
124,Mixed Personalities (feat. Kanye West),YNW Melly,5925408,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,2019-03-01,Global,2019-03-01,Global
125,Nonstop,Drake,5905557,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019-03-01,Global,2019-03-01,Global
126,Too Good At Goodbyes,Sam Smith,5861454,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019-03-01,Global,2019-03-01,Global
127,In My Feelings,Drake,5835957,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019-03-01,Global,2019-03-01,Global
128,Somebody To Love - 2011 Mix,Queen,5811092,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI,2019-03-01,Global,2019-03-01,Global
129,Ruin My Life,Zara Larsson,5796375,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019-03-01,Global,2019-03-01,Global
130,This Feeling,The Chainsmokers,5718633,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019-03-01,Global,2019-03-01,Global
131,FRIENDS,Marshmello,5697037,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2019-03-01,Global,2019-03-01,Global
132,bellyache,Billie Eilish,5681966,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,2019-03-01,Global,2019-03-01,Global
133,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,5672337,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019-03-01,Global,2019-03-01,Global
