Region,Streams,Track Name,Artist,acousticness,danceability,duration_ms,energy,key,liveness,instrumentalness,loudness,mode,popularity,valence,tempo,speechiness
Argentina,3976413686,10629,10629,0.3165878008494575,0.6814563473336553,224935.99622463426,0.5707819726286004,2119,0.19320066068900535,0.02414422429919797,-7.095325153374223,0.562057574327513,73.13638508730533,0.4889504011326105,119.08925011798003,0.1051972628598394
Austria,660386499,11153,11153,0.3326213446417231,0.6433956880152216,203259.8392517438,0.580164013950543,3154,0.17811474318326073,0.012019989781230204,-6.8234892200379935,0.6357006975269499,70.78915662650603,0.46814305643627013,122.91430564362653,0.09586661382371534
Belgium,957857859,11914,11914,0.3209124340959412,0.6438887453874467,208323.33653136532,0.5895745940959347,5420,0.17955695571956173,0.024769322933579307,-6.773971771217751,0.6254612546125461,73.08487084870849,0.47665426199261685,121.25016660516415,0.09466372693726852
Bolivia,246683499,11019,11019,0.33246892312995563,0.6774129610479199,222001.14443295414,0.5850203378145512,2901,0.15860692864529485,0.015304152605998033,-6.656913822819714,0.581868321268528,71.94174422612892,0.5260919682867974,124.27311271975155,0.09748059289900003
Brazil,11308543897,10742,10742,0.3212390428816482,0.6657178387650101,220815.3576329331,0.5631603773584901,1166,0.18666886792452755,0.015533257006861081,-6.854942538593479,0.48198970840480276,76.1483704974271,0.48345051457976135,124.03346655231576,0.0967735849056606
Bulgaria,74914840,11323,11323,0.26639331810667294,0.6908801417043811,203377.78409761857,0.5969045266679781,5081,0.18430358197205654,0.019582240474316077,-6.585756543987427,0.5479236370793151,75.88191300925014,0.44650625861050713,123.24056465262647,0.12224814012989481
Canada,4974183853,12498,12498,0.2938380785639959,0.6700172996878168,201086.3710978148,0.5859312825182093,7688,0.1736405046826235,0.013579996632414135,-6.881923777315384,0.6277315296566077,73.06581685744017,0.4714559703433878,121.11123465140246,0.11314248178980137
Chile,4098661098,10723,10723,0.2941215358554494,0.7007470355731302,221447.11801242235,0.6092885375494081,1771,0.17399858836815335,0.022274981581027767,-6.58017730095991,0.48616600790513836,73.21964991530209,0.47294020327498626,124.23999322416725,0.125798814229249
Colombia,1221040869,11022,11022,0.32465523716381417,0.7043003842123668,224824.96437303527,0.6066356968215169,2863,0.15458393293747885,0.01231539283618588,-6.4437527069507405,0.5927348934683898,72.6304575619979,0.581203143555709,121.23561788333926,0.09626140412155053
Global,102195005646,11912,11912,0.32435006889611673,0.6729422511224586,202952.7460907261,0.5732875058058433,6459,0.1751540950611581,0.015859583886050417,-6.867965164886271,0.6011766527326211,73.67456262579347,0.46761193683232444,120.8301834649302,0.11202882799194794
Great Britain,8887100634,12054,12054,0.30434668553064725,0.6365566703244951,210452.70465590217,0.6054347233108598,6379,0.17174069603386338,0.01446377300047027,-6.8982512933062345,0.6671892146104406,71.38219156607619,0.49253525630976847,120.3390459319616,0.08791102053613364
Switzerland,853029420,11610,11610,0.33368190780141904,0.6528613352897986,204588.07483492297,0.5741157251161694,4089,0.18529026656884695,0.022464391254585485,-6.763974076791363,0.603570555147958,72.07703595011004,0.4634936170212747,122.89963414037614,0.09399148936170106
United States of America,34696655224,12145,12145,0.29995289788130053,0.6866649559152448,195382.2368732728,0.5754412817475957,7599,0.16627116725885238,0.013895440939597313,-6.913444663771642,0.6008685353335965,73.69943413607054,0.45172491117251645,122.57518805105775,0.13071214633504416
