,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Secreto,"Anuel AA",156152,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
2,"Calma - Remix","Pedro Capó",124392,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
3,"Adan y Eva","Paulo Londra",95247,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
4,Lollipop,Boza,89479,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ
5,"Baila Baila Baila",Ozuna,81614,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
6,"MIA (feat. Drake)","Bad Bunny",81328,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
7,Adictiva,"Daddy Yankee",74619,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
8,Desconocidos,"Mau y Ricky",72378,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
9,"Ella Quiere Beber - Remix","Anuel AA",72367,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
10,"Solo de Mi","Bad Bunny",69559,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
11,Amanece,"Anuel AA",69001,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
12,Bubalu,"Becky G",65067,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",64603,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
14,"Me Gustaría","Justin Quiles",63116,https://open.spotify.com/track/2EH0nzeRDSiYpjqBfHnX9r
15,Créeme,"KAROL G",55425,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
16,Imposible,"Luis Fonsi",54990,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
17,"Vaina Loca",Ozuna,52066,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
18,"NI BIEN NI MAL","Bad Bunny",49565,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
19,"Te Vi","Piso 21",49471,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
20,"7 rings","Ariana Grande",46365,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
21,Culpables,"KAROL G",45725,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
22,Ibiza,Ozuna,45188,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
23,"Luz Apaga",Ozuna,45165,https://open.spotify.com/track/5Q3e16qE1RE5oilN3ukasm
24,"Asesina - Remix",Brytiago,43230,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
25,Caro,"Bad Bunny",42752,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
26,MALA,6ix9ine,41193,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
27,"A Solas - Remix",Lunay,39474,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
28,Sola,"Manuel Turizo",39404,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
29,"Qué Más Pues",Sech,39134,https://open.spotify.com/track/5O3cRP4ZHC9vvVIHtET1f0
30,"Un Año","Sebastian Yatra",39110,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
31,Reggaeton,"J Balvin",38448,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
32,Baby,Amenazzy,36473,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
33,"Cuando Te Besé","Becky G",35818,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
34,"Ni Gucci Ni Prada","Kenny Man",35495,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
35,"Sin Igual","Gian Varela",34892,https://open.spotify.com/track/4D20alJpwRnEN4XO6h3nDo
36,PPP,"Kevin Roldan",33638,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
37,"Ya No Tiene Novio","Sebastian Yatra",32935,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
38,Hipócrita,"Anuel AA",31910,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
39,"Con Calma","Daddy Yankee",31219,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
40,"Otra Noche en Miami","Bad Bunny",30957,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
41,BEBE,6ix9ine,30681,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
42,Déjalo,Nacho,30648,https://open.spotify.com/track/4VTTpwcAxVSQNzEZLi75d0
43,"Ta To Gucci (Remix)",Cauty,30062,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
44,"Puntos Suspensivos","Piso 21",28974,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
45,Devuelveme,Ozuna,28840,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
