,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Otro Trago",Sech,193031,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
2,Callaita,"Bad Bunny",161134,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
3,"Soltera - Remix",Lunay,110386,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
4,Cuaderno,Dalex,109713,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
5,"Que Mas Pues - Remix",Sech,102838,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
6,"Pa Mí - Remix",Dalex,94533,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
7,"Verte Ir","DJ Luian",92376,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
8,Solita,Sech,86824,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
9,Delincuente,Farruko,59261,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
10,"Amor Genuino",Ozuna,58994,https://open.spotify.com/track/6pK5edDoyrn4mWwRSVc2a5
11,"Falsas Promesas",Sech,58271,https://open.spotify.com/track/6ATIufHUOw1R1A4q46BqrN
12,"Me mato",Boza,58106,https://open.spotify.com/track/6ehcQY0jLuWqOIeVmUJFow
13,"Tiene Novio",Sech,56449,https://open.spotify.com/track/5V4u2EwJZLs03lWJ8PH9DA
14,"Sígueme - Remix",Feid,55623,https://open.spotify.com/track/7IpRYJ71dk98P0SmgnNLYh
15,"Te Robaré","Nicky Jam",55188,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
16,"Si Se Da","Myke Towers",54545,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
17,Secreto,"Anuel AA",53121,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
18,"No Me Conoce - Remix","Jhay Cortez",51868,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
19,"Tal Vez","Paulo Londra",50747,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
20,"Calma - Remix","Pedro Capó",49555,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
21,Ocean,"KAROL G",46845,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7
22,Boomerang,Sech,46780,https://open.spotify.com/track/6E8uqptcabNz9ym19FkDye
23,"Con Calma","Daddy Yankee",46723,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
24,"Loco Fefo","Italian Somali",45461,https://open.spotify.com/track/3qFiDBVE1SmltkIw3IuUPD
25,"La Mentira - Remix",Brytiago,45322,https://open.spotify.com/track/4jBpZsZ9qx3cZhoEfuKElF
26,"Miss Lonely - Dimelo Flow Remix",Sech,45188,https://open.spotify.com/track/1ndlOUUT3Eq1SDCSdKJASw
27,"Esclavo de Tus Besos","Manuel Turizo",43981,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
28,"Punto G","KAROL G",42549,https://open.spotify.com/track/2E82gORVSA7UMEz5M1IP3b
29,"Baila Baila Baila - Remix",Ozuna,41498,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
30,"La Niña",Sech,40831,https://open.spotify.com/track/7AMzFTeQSS2FBjMCYb6zxs
31,"11 PM",Maluma,40657,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
32,"La Cartera",Farruko,39856,https://open.spotify.com/track/1g2Z2lOrwayOzDqOc8EfbR
33,"Un Año","Sebastian Yatra",38220,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
34,Amanece,"Anuel AA",37596,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
35,"La Playa","Myke Towers",35637,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
36,"Contra La Pared","Sean Paul",35510,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
37,"Con Altura",ROSALÍA,35477,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
38,"Adan y Eva","Paulo Londra",35406,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
39,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",34718,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
40,"I Don't Care (with Justin Bieber)","Ed Sheeran",34560,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
41,"Ella Quiere Beber - Remix","Anuel AA",34465,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
42,Desconocidos,"Mau y Ricky",34455,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
43,"X Ti",Sech,34387,https://open.spotify.com/track/65mhesg9E1dT45P5DYX4wV
44,Lollipop,Boza,33981,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ
45,HP,Maluma,33786,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
46,"Qué Más Pues",Sech,33578,https://open.spotify.com/track/5O3cRP4ZHC9vvVIHtET1f0
47,"La Discusión",Sech,31992,https://open.spotify.com/track/5mzp5B1FA5e4fsvnkqyvm1
48,"Soñando Despierto",Sech,30588,https://open.spotify.com/track/1FIgFc6wUm2BQ1yrdFuUcs
49,"Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles)","Paulo Londra",30564,https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP
50,"Te Vi","Piso 21",30269,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
51,Créeme,"KAROL G",28566,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU
52,"La Boca","Mau y Ricky",26850,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
53,"Por Ley","Anuel AA",26025,https://open.spotify.com/track/3GCLIIJdXvcKfmJlICkTVL
54,Aullando,"Wisin & Yandel",25610,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
55,"MIA (feat. Drake)","Bad Bunny",25478,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
56,"Vuelva A Ver - Remix",Dalex,25378,https://open.spotify.com/track/0GrGfs8ldZRWOrksG5uraH
57,"Dices Que Te Vas","KAROL G",24804,https://open.spotify.com/track/0QHOIQxRlIPYPJ1HLgIN8S
58,Guayo,"Zion & Lennox",24469,https://open.spotify.com/track/4MR1AZhe1p0zTuH2HGhX9L
59,"Si Estuviésemos Juntos","Bad Bunny",24310,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
60,ReBoTa,Guayna,23849,https://open.spotify.com/track/3LzJUPmudZeeJhUpeXYcuV
61,"Maleantes Caros",Yemil,23522,https://open.spotify.com/track/0zOpk9qj9ZoCOZ6UTZ7CoN
62,"bad guy","Billie Eilish",23440,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
63,"Me Gustaría","Justin Quiles",22956,https://open.spotify.com/track/2EH0nzeRDSiYpjqBfHnX9r
64,"Baila Baila Baila",Ozuna,22709,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
65,Destino,Greeicy,22635,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
66,"Lo Malo",Sech,22469,https://open.spotify.com/track/4kIuPsijmLzK11RTCseKh7
67,"Ven y Hazlo Tú (feat. Arcángel)","Nicky Jam",22423,https://open.spotify.com/track/3NbwRR74N1FykCWETcEk3j
68,Cristina,"Sebastian Yatra",22252,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
69,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,21188,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
