,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Otro Trago",Sech,273292,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
2,"Que Mas Pues - Remix",Sech,154656,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
3,Solita,Sech,136665,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
4,"Pa Mí - Remix",Dalex,102228,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
5,"Tiene Novio",Sech,99413,https://open.spotify.com/track/5V4u2EwJZLs03lWJ8PH9DA
6,"Falsas Promesas",Sech,98551,https://open.spotify.com/track/6ATIufHUOw1R1A4q46BqrN
7,"Verte Ir","DJ Luian",97854,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
8,Boomerang,Sech,87849,https://open.spotify.com/track/6E8uqptcabNz9ym19FkDye
9,"La Niña",Sech,85652,https://open.spotify.com/track/7AMzFTeQSS2FBjMCYb6zxs
10,"X Ti",Sech,74973,https://open.spotify.com/track/65mhesg9E1dT45P5DYX4wV
11,"Me mato",Boza,74010,https://open.spotify.com/track/6ehcQY0jLuWqOIeVmUJFow
12,"Sígueme - Remix",Feid,72152,https://open.spotify.com/track/3pAwh9JxSJxWyUy3BUBPb4
13,"Miss Lonely - Dimelo Flow Remix",Sech,70018,https://open.spotify.com/track/1ndlOUUT3Eq1SDCSdKJASw
14,"Soñando Despierto",Sech,66741,https://open.spotify.com/track/1FIgFc6wUm2BQ1yrdFuUcs
15,Ocean,"KAROL G",64942,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7
16,Delincuente,Farruko,61758,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
17,"Loco Fefo","Italian Somali",60016,https://open.spotify.com/track/3qFiDBVE1SmltkIw3IuUPD
18,"La Discusión",Sech,58060,https://open.spotify.com/track/5mzp5B1FA5e4fsvnkqyvm1
19,Secreto,"Anuel AA",57213,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
20,"Con Calma","Daddy Yankee",56484,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
21,"Punto G","KAROL G",54921,https://open.spotify.com/track/2E82gORVSA7UMEz5M1IP3b
22,"Calma - Remix","Pedro Capó",53740,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
23,"Baila Baila Baila - Remix",Ozuna,51958,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
24,"Si Se Da","Myke Towers",51293,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
