,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Callaita,"Bad Bunny",192440,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
2,"Otro Trago",Sech,160590,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
3,Cuaderno,Dalex,110807,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
4,"Soltera - Remix",Lunay,109159,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
5,"Verte Ir","DJ Luian",89800,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
6,"Que Mas Pues - Remix",Sech,87127,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
7,"Pa Mí - Remix",Dalex,83543,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
8,"No Me Conoce - Remix","Jhay Cortez",76237,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
9,Señorita,"Shawn Mendes",74822,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
10,Solita,Sech,64250,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
11,"Tú No Amas","Mambo Kingz",60312,https://open.spotify.com/track/5J64qSSq0VZuh0CiI9o9Nq
12,"Amor Genuino",Ozuna,58778,https://open.spotify.com/track/6pK5edDoyrn4mWwRSVc2a5
13,"Te Robaré","Nicky Jam",57822,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
14,"Si Se Da","Myke Towers",54033,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
15,Runaway,"Sebastian Yatra",50542,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
16,"Con Calma","Daddy Yankee",50051,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
17,"11 PM",Maluma,47895,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
18,"Tal Vez","Paulo Londra",47885,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
19,Delincuente,Farruko,46392,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
20,"Me mato",Boza,45488,https://open.spotify.com/track/6ehcQY0jLuWqOIeVmUJFow
