,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Secreto,"Anuel AA",156830,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
2,"Calma - Remix","Pedro Capó",126996,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
3,"Adan y Eva","Paulo Londra",96691,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
4,"Baila Baila Baila",Ozuna,93276,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
5,Lollipop,Boza,88116,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ
6,"MIA (feat. Drake)","Bad Bunny",81763,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
7,Amanece,"Anuel AA",79786,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
8,Desconocidos,"Mau y Ricky",75934,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
9,"Ella Quiere Beber - Remix","Anuel AA",75011,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
10,"Sígueme - Remix",Feid,74208,https://open.spotify.com/track/3pAwh9JxSJxWyUy3BUBPb4
11,"Me Gustaría","Justin Quiles",70896,https://open.spotify.com/track/2EH0nzeRDSiYpjqBfHnX9r
12,"Con Calma","Daddy Yankee",67942,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
13,Adictiva,"Daddy Yankee",67126,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
14,"Solo de Mi","Bad Bunny",66706,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
15,Bubalu,"Becky G",63009,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
16,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",59247,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
17,"Te Vi","Piso 21",59055,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
18,"Un Año","Sebastian Yatra",56855,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
19,Créeme,"KAROL G",55825,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
20,"Qué Más Pues",Sech,50411,https://open.spotify.com/track/5O3cRP4ZHC9vvVIHtET1f0
21,"7 rings","Ariana Grande",48787,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
22,Imposible,"Luis Fonsi",48764,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
23,"Luz Apaga",Ozuna,46389,https://open.spotify.com/track/5Q3e16qE1RE5oilN3ukasm
24,Caro,"Bad Bunny",45904,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
25,"NI BIEN NI MAL","Bad Bunny",45603,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
26,Ibiza,Ozuna,44991,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
27,Culpables,"KAROL G",44222,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
28,"Asesina - Remix",Brytiago,44171,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
29,Sola,"Manuel Turizo",42648,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
30,"A Solas - Remix",Lunay,42564,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
31,"Vaina Loca",Ozuna,41244,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
32,Reggaeton,"J Balvin",40924,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
33,Baby,Amenazzy,40812,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
34,MALA,6ix9ine,38992,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
35,"Sin Igual","Gian Varela",37967,https://open.spotify.com/track/4D20alJpwRnEN4XO6h3nDo
36,"Ni Gucci Ni Prada","Kenny Man",36836,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
37,PPP,"Kevin Roldan",34864,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
38,Happier,Marshmello,34721,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
