,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pa Mí - Remix",Dalex,136470,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
2,Secreto,"Anuel AA",124249,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
3,"Calma - Remix","Pedro Capó",106846,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
4,"Con Calma","Daddy Yankee",102294,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
5,"Baila Baila Baila",Ozuna,92706,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
6,"Sígueme - Remix",Feid,81168,https://open.spotify.com/track/3pAwh9JxSJxWyUy3BUBPb4
7,"Adan y Eva","Paulo Londra",80204,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
8,Lollipop,Boza,78341,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ
9,Desconocidos,"Mau y Ricky",73750,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
10,"Un Año","Sebastian Yatra",72823,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
11,"Ella Quiere Beber - Remix","Anuel AA",68770,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
12,Amanece,"Anuel AA",67695,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
13,"Me Gustaría","Justin Quiles",65264,https://open.spotify.com/track/2EH0nzeRDSiYpjqBfHnX9r
14,"MIA (feat. Drake)","Bad Bunny",59951,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
15,"Solo de Mi","Bad Bunny",57496,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
16,Adictiva,"Daddy Yankee",56076,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
17,"Qué Más Pues",Sech,55105,https://open.spotify.com/track/5O3cRP4ZHC9vvVIHtET1f0
18,Bubalu,"Becky G",50677,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
19,Créeme,"KAROL G",50567,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
20,"Te Vi","Piso 21",50055,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
21,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,49250,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
22,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",47344,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
23,"Esclavo de Tus Besos","Manuel Turizo",46271,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
24,Caro,"Bad Bunny",43875,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
25,Sola,"Manuel Turizo",42886,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
26,"7 rings","Ariana Grande",42153,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
27,"A Solas - Remix",Lunay,40437,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
28,Baby,Amenazzy,39808,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
29,Imposible,"Luis Fonsi",39298,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
30,"Asesina - Remix",Brytiago,38701,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
