,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pa' Olvidarme De Ella","Piso 21",115073,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
2,China,"Anuel AA",103984,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
3,"LA CANCIÓN","J Balvin",94811,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
4,Callaita,"Bad Bunny",85137,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
5,Tutu,Camilo,83247,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
6,"No Me Conoce - Remix","Jhay Cortez",82952,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
7,"11 PM",Maluma,68665,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
8,"Soltera - Remix",Lunay,67384,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
9,"Adicto (with Anuel AA & Ozuna)",Tainy,63570,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
10,"Qué Pena",Maluma,61426,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
11,"Otro Trago - Remix",Sech,60785,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
12,"QUE PRETENDES","J Balvin",59424,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
13,"Si Te Vas",Sech,59095,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
14,Indeciso,Reik,57483,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
15,Señorita,"Shawn Mendes",55561,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
16,Quizás,"Rich Music LTD",51987,https://open.spotify.com/track/4AjWbAwRpxk2worpjNH5CS
17,"Yo x Ti, Tu x Mi",ROSALÍA,49412,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
18,"Una Vida Para Recordar","Piso 21",48916,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
