,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pa' Olvidarme De Ella","Piso 21",124053,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
2,China,"Anuel AA",103844,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
3,"LA CANCIÓN","J Balvin",96201,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
4,Callaita,"Bad Bunny",86051,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
5,"No Me Conoce - Remix","Jhay Cortez",84165,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
6,Tutu,Camilo,83926,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
7,Oye,TINI,71355,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE
8,"11 PM",Maluma,69731,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
9,"Si Te Vas",Sech,67779,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
10,"Soltera - Remix",Lunay,67655,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
11,"Adicto (with Anuel AA & Ozuna)",Tainy,65803,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
12,Indeciso,Reik,64356,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
13,"Qué Pena",Maluma,63922,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
14,Quizas,"Rich Music LTD",61021,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
15,"Otro Trago - Remix",Sech,58287,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
16,"QUE PRETENDES","J Balvin",54078,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
17,Señorita,"Shawn Mendes",52760,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
18,"Una Vida Para Recordar","Piso 21",50690,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
19,"Yo x Ti, Tu x Mi",ROSALÍA,50333,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
20,Atrévete,"Nicky Jam",49049,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
21,Desconocidos,"Mau y Ricky",47699,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
22,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dímelo Flow",46068,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
23,"Con Altura",ROSALÍA,45711,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
24,"Si Se Da - Remix","Myke Towers",45166,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
25,"Pa Mí - Remix",Dalex,44837,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
26,Bellaquita,Dalex,44834,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
27,Fantasias,"Rauw Alejandro",43543,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
28,"Otro Trago",Sech,43290,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
29,"Que Mas Pues - Remix",Sech,42284,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
30,"Te Vi","Piso 21",38540,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
31,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",38489,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
32,"La Boca - Remix","Mau y Ricky",38367,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
33,Mami,"Piso 21",38201,https://open.spotify.com/track/3bDD7GGvIzAZeHz2TOYD3A
34,Cuaderno,Dalex,37548,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
35,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",36916,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
36,"Te Quemaste","Manuel Turizo",36873,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
37,Runaway,"Sebastian Yatra",36427,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
38,HP,Maluma,36378,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
39,"Tal Vez","Paulo Londra",36124,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
40,"Nadie (feat. Sech & Sharo Towers) - Remix",Farruko,35651,https://open.spotify.com/track/6pNjmMB8FTMEcqGSgs7Mji
41,"Un Año","Sebastian Yatra",34168,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
42,Loco,Beéle,34020,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
43,"Amor A Primera Vista","Los Ángeles Azules",33949,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
44,"No Se Me Quita (feat. Ricky Martin)",Maluma,32059,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR
45,"Si Supieras","Daddy Yankee",32003,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
46,"Te Robaré","Nicky Jam",31897,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
47,"Verte Ir","DJ Luian",30792,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
48,"UN PESO","J Balvin",30783,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa
49,"No Te Vayas",Camilo,30188,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB
50,"Puntos Suspensivos","Piso 21",29833,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
51,"Ella Quiere Beber - Remix","Anuel AA",29678,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
52,Chicharrón,Guaynaa,28405,https://open.spotify.com/track/5UVa8Qqb9L1dVxl3jKQ5J1
53,Fresa,TINI,28057,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
54,Bonita,Juanes,27445,https://open.spotify.com/track/0gcOnIUKIG6JF56iFUfE0p
55,"Cuerpo en Venta",Noriel,27427,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
56,"Adan y Eva","Paulo Londra",27169,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
57,"La Boca","Mau y Ricky",26826,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
58,"B11 (feat. Myke Towers)",Rvssian,25820,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
59,"Dance Monkey","Tones And I",25126,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
60,Aleluya,Reik,24964,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM
61,Goteo,Duki,24823,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
62,"Calma - Remix","Pedro Capó",24685,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
63,Bellacoso,Residente,24488,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
64,"Con Calma","Daddy Yankee",24486,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
65,"Tus Besos",F4ST,24299,https://open.spotify.com/track/227bIO8Px14r0x8TnIGytH
66,DOLLAR,"Becky G",24290,https://open.spotify.com/track/4ziiAuFyXiY1HNSLGM1xv8
67,Cristina,"Sebastian Yatra",24099,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
68,Lalala,Y2K,23852,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
69,Solita,Sech,23635,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
70,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",23524,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
71,"Nada Ha Cambiado","Manuel Turizo",23444,https://open.spotify.com/track/5Qykmc6YTWMvZMmBcHUdMU
72,"La Playa","Myke Towers",23366,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
73,Uniforme,"Rich Music LTD",23253,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
74,"RITMO (Bad Boys For Life)","Black Eyed Peas",23250,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
75,"No Te Contaron Mal","Christian Nodal",23155,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
76,Secreto,"Anuel AA",22799,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
77,Créeme,"KAROL G",22693,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU
78,"Ya No Tiene Novio","Sebastian Yatra",22505,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
79,Destino,Greeicy,22283,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
80,"Nunca Es Suficiente","Los Ángeles Azules",22217,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
81,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,21688,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
82,"Cuando Te Besé","Becky G",21359,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
83,Amanece,"Anuel AA",21315,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
84,Aullando,"Wisin & Yandel",20859,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
85,"Mala Fama","Danna Paola",20593,https://open.spotify.com/track/2LVWDR1oEthhLIOtT4hHih
86,"Esclavo de Tus Besos","Manuel Turizo",20373,https://open.spotify.com/track/0WpwK09agFbwEUaNrGnXoe
87,"De Cero",CNCO,20318,https://open.spotify.com/track/6N7I3N37xvT9kPWfXNgDmo
88,"Oye Pablo","Danna Paola",20099,https://open.spotify.com/track/4wJFExEZZo62tmwTM9ENDR
89,"Latina (feat. Maluma)",Reykon,20083,https://open.spotify.com/track/00Ia46AgCNfnXjzgH8PIKH
90,"Que Calor (with J Balvin & El Alfa)","Major Lazer",19845,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
91,"Cúrame (feat. Manuel Turizo)","Prince Royce",19749,https://open.spotify.com/track/6rXxAohZzTDsP5KT3IDFIU
92,"No Te Debí Besar","C. Tangana",19732,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
93,22,TINI,19688,https://open.spotify.com/track/07L6tEZIfCX3GZAWCpGj0e
94,"Amigos Con Derechos",Reik,19295,https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524
95,"Me Rehúso","Danny Ocean",19255,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
96,Believer,"Imagine Dragons",19200,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
97,"Por Perro","Sebastian Yatra",18783,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
98,CANGURO,WOS,18688,https://open.spotify.com/track/2UAWYufVaO3EnUUNzl0ppO
99,"Por Eso Vine","Paulo Londra",18577,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu
100,Buttercup,"Jack Stauber",18527,https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC
101,"Tequila Sunrise","Cali Y El Dandee",18059,https://open.spotify.com/track/1sD32hk8V2vR4ME7M0rPT5
102,"Lights Up","Harry Styles",17810,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
103,"Déjate Querer","Lalo Ebratt",17740,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8
104,"Rebota - Remix",Guaynaa,17724,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11
105,"La Mejor Versión de Mi - Remix","Natti Natasha",17603,https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ
106,"2 Pa' 2",Rombai,17553,https://open.spotify.com/track/1Vd3YqV8DYS1U3rsJads3H
107,"bad guy","Billie Eilish",17490,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
108,"BOTA FUEGO","Mau y Ricky",17488,https://open.spotify.com/track/6Y6YC93R1r0CISm5iC4j27
109,Memories,"Maroon 5",17413,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
110,"Fuentes de Ortiz","Ed Maverick",17387,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
111,"Mejores Amigos",Yera,17336,https://open.spotify.com/track/7tQ24skemknA6PPh6gwFi1
112,Pegao,CNCO,17273,https://open.spotify.com/track/65HT0L2eAtvbH56XrJqPbf
113,Sola,"Manuel Turizo",17090,https://open.spotify.com/track/0KHhNlHN5lWn7q332PiPys
114,"Tra Tra Tra Remix - Remix","Ghetto Kids",17003,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm
115,"How Do You Sleep?","Sam Smith",16987,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
116,Bailemos,"Manuel Turizo",16812,https://open.spotify.com/track/1ScD7XQYCKmJ3fdNh71lUE
117,"MIA (feat. Drake)","Bad Bunny",16773,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
118,"Si Se Da","Myke Towers",16622,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
119,"I Don't Care (with Justin Bieber)","Ed Sheeran",16474,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
120,"Old Town Road - Remix","Lil Nas X",16393,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
121,Circles,"Post Malone",16329,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
122,"Baila Baila Baila - Remix",Ozuna,16261,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
123,Piensan,Haze,16249,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
124,"Lost on You",LP,16143,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC
125,"Te Amo","Piso 21",16091,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
126,"No Hay Nadie Más","Sebastian Yatra",15917,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
127,"Me Vuelvo Loco","Abraham Mateo",15868,https://open.spotify.com/track/0KmeVVL1SHlPIiHWtOD34X
128,"Vaina Loca",Ozuna,15788,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
129,Swing,"Danny Ocean",15465,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6
130,Culpables,"Manuel Turizo",15270,https://open.spotify.com/track/2zufEOvbBeIzYnRktwYk1W
