,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",103595,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Fantasias,"Rauw Alejandro",99739,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
3,"RITMO (Bad Boys For Life)","Black Eyed Peas",97647,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
4,"Pa' Olvidarme De Ella","Piso 21",95943,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
5,"LA CANCIÓN","J Balvin",83259,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
6,China,"Anuel AA",80896,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
7,"Si Te Vas",Sech,69558,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
8,"No Me Conoce - Remix","Jhay Cortez",68038,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
9,Callaita,"Bad Bunny",67258,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
10,"Adicto (with Anuel AA & Ozuna)",Tainy,61577,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
11,"Que Tire Pa Lante","Daddy Yankee",59117,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
12,Indeciso,Reik,58232,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
13,"Whine Up","Nicky Jam",57668,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
14,Tutu,Camilo,56161,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
15,Quizas,"Rich Music LTD",54729,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
16,Bellaquita,Dalex,51582,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
17,"11 PM",Maluma,49341,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
18,"Qué Pena",Maluma,48427,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
19,"Soltera - Remix",Lunay,48208,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
20,Loco,Beéle,44265,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
21,"QUE PRETENDES","J Balvin",42997,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
22,Aventura,Lunay,42961,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
23,"Una Vida Para Recordar","Piso 21",42375,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
24,Señorita,"Shawn Mendes",41156,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
25,"Otro Trago - Remix",Sech,41091,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
26,Desconocidos,"Mau y Ricky",40681,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
