,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
59,"Super Lemon Haze",LX,60035,https://open.spotify.com/track/2Y6m0Qh5HvO3rikg7dlCav
60,"bis um 3",KALIM,59891,https://open.spotify.com/track/03SfDYmOPflD23iTL5qjiq
61,"In My Mind",Dynoro,59446,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
62,"my strange addiction","Billie Eilish",57823,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
63,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,57183,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
64,Cataleya,Samra,56406,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR
65,Klassik,Nash,54747,https://open.spotify.com/track/4cvdsyaIVLEQXEid5wnyaW
66,Yapma,"C ARMA",54630,https://open.spotify.com/track/1194zYf7UfSXP4omxVTmPa
67,Happier,Marshmello,53974,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
68,"Without Me",Halsey,53418,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
69,"Be Alright","Dean Lewis",52834,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
70,"Shoote ma Shoote",Samra,52729,https://open.spotify.com/track/7FOQJQcTDqzXZJ72hZikCl
71,"Power Over Me","Dermot Kennedy",52089,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
72,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",51833,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
73,lovely,"Billie Eilish",50628,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
74,"Viva la Dealer",SDP,49716,https://open.spotify.com/track/2vuFdbSOLje3khV4rLSEpm
75,"Body (feat. brando)","Loud Luxury",48506,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
76,Neymar,"Capital Bra",48357,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
77,"break up with your girlfriend, i'm bored","Ariana Grande",48293,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
78,"thank you",Lena,48212,https://open.spotify.com/track/6dcWHkIgaklSNeT8tQRfpS
79,"Look Back at It","A Boogie Wit da Hoodie",47808,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
80,"Wild Stare","Giant Rooks",47784,https://open.spotify.com/track/2SClPoLfPJmwrr3EyfgRTS
81,Casanova,"Summer Cem",47490,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
82,"So Am I","Ava Max",47454,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
83,ilomilo,"Billie Eilish",47178,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
84,"Say My Name","David Guetta",46739,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
85,"Why so Serious","Alice Merton",46099,https://open.spotify.com/track/1FBzp2RXC04zE31DSCOqAY
86,"Ohne mein Team","Bonez MC",45925,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
87,Facetime,Dardan,45580,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
88,"Just You and I","Tom Walker",45492,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
89,"MONOPOLY (with Victoria Monét)","Ariana Grande",45379,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
90,"Ich liebe es (feat. XATAR & SAMY)","Capital Bra",44357,https://open.spotify.com/track/71XGMPKmWtVxO7bGcGZhbn
91,"Melodien (feat. Juju)","Capital Bra",44294,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
92,DODI,Shindy,43655,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H
