,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",475550,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,110,"Capital Bra",427373,https://open.spotify.com/track/5sdQ7VUx6GOfsRoSxnK1YG
3,"Honda Civic","The Cratez",410440,https://open.spotify.com/track/0WFgtxiLNr99YaoSdYR3Ud
4,Roller,"Apache 207",296007,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
5,Adriana,"RAF Camora",247965,https://open.spotify.com/track/4G3gFk4oyvt8klQEVJBzea
6,Fabergé,RIN,238169,https://open.spotify.com/track/7lnQCEtaDJeMZN75siSxLc
7,"200 km/h","Apache 207",229681,https://open.spotify.com/track/2wvLtM25eMpHK7hkidqte2
8,2002,Sido,215039,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
9,"Summer Cem (feat. Luciano)","Summer Cem",185934,https://open.spotify.com/track/3QIrkRSTz3yPd44HzN6qJr
10,"Kein Plan",Loredana,154067,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
11,Señorita,"Shawn Mendes",148695,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
12,Huracan,Samra,144065,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1
13,"Hash Hash",SSIO,136838,https://open.spotify.com/track/0AuriGfdxWcFNLBCPMUJ71
14,Genick,Loredana,125048,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
15,Tilidin,"Capital Bra",123245,https://open.spotify.com/track/1VEMUkGFio5uURvN8x1DZJ
16,Eiskalt,Loredana,122662,https://open.spotify.com/track/5sMugAU31Ug5SAUUbhBIKU
17,"bad guy","Billie Eilish",122498,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,Ronin,Bushido,121812,https://open.spotify.com/track/2l2UsmkfgmRC6fIDwwsiNM
19,"Beautiful People (feat. Khalid)","Ed Sheeran",120082,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
