,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Rolex,"Capital Bra",415776,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF
2,"Cherry Lady","Capital Bra",263635,https://open.spotify.com/track/3r1cV21xPMkgCmxk8VqWOB
3,"bad guy","Billie Eilish",234045,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,"Wir ticken","Capital Bra",198132,https://open.spotify.com/track/1ag6DENIjtcmRFCx5JjUng
5,Harami,Samra,196990,https://open.spotify.com/track/5xIODxqlpUnRVA9ewZUCug
6,"Bye Bye","Capital Bra",186467,https://open.spotify.com/track/60yqRJXgkrPEvP977ZIOWb
7,SOS,Avicii,186238,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
8,Prinzessa,"Capital Bra",184827,https://open.spotify.com/track/0Tq0EhQpVeQJwV3E3P5Jti
9,"Blei (feat. Veysel)","Kontra K",166946,https://open.spotify.com/track/5kLUig6aFQQzY1n2TKzzYD
10,Affalterbach,Shindy,153754,https://open.spotify.com/track/1L8LtC2s161XwY6YrtnQjw
11,"Wolke 10",MERO,153357,https://open.spotify.com/track/200cTjC6si5Xz9af2QeHi2
12,"Blackberry Sky",Eno,146609,https://open.spotify.com/track/4cawYWrqMRz0T0hOIVxk6j
13,Cabriolet,"Capital Bra",146150,https://open.spotify.com/track/5544wzOCuqHpqNELk3zYxA
14,"Old Town Road","Lil Nas X",144676,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
15,Benzema,"Capital Bra",142210,https://open.spotify.com/track/0gyO8zq1Hw5GTQ33EXcc40
16,"Shoote ma Shoote",Samra,140624,https://open.spotify.com/track/7FOQJQcTDqzXZJ72hZikCl
17,"cOcO MAmA",Dardan,140285,https://open.spotify.com/track/0oOPa0AlLnjCO6eci0HIdH
18,"Capital Bra je m'appelle","Capital Bra",135664,https://open.spotify.com/track/5bAZzGAgjY3SZHmciyh8h7
19,"Steh auf","Capital Bra",133603,https://open.spotify.com/track/2IeMkz2ienHzdse2MsvKYv
20,"Puerto Rico",Fero47,131014,https://open.spotify.com/track/0ypCvaP431mEM6znlVHNRP
21,"Click Click","Capital Bra",128986,https://open.spotify.com/track/0AKDcdzjQ7CNjrqfXgwnMt
22,2x,Mathea,127907,https://open.spotify.com/track/2pu5rVWy3zPlgypJzL3Mlw
23,"Van der Vaart","Capital Bra",124314,https://open.spotify.com/track/22X5tbeWf9jQQjl7zb63eU
24,DNA,"KC Rebell",124238,https://open.spotify.com/track/4BD9yUEFI07WaDJ381DDMq
25,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",121509,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
26,"Don't Call Me Up",Mabel,116626,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
27,Alleen,"KC Rebell",112933,https://open.spotify.com/track/3UDsmMZsEMsvM82OcdqJWu
28,"Pass auf wen du liebst",Ufo361,110424,https://open.spotify.com/track/5NsCv3I7o0f6vSQScG01f1
29,"Gib Ihm","SHIRIN DAVID",109576,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs
30,Mary,Bausa,108960,https://open.spotify.com/track/6BZhkqUtaFJm57Hm5TTQSH
31,"500 PS","Bonez MC",108616,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
32,"Schon ok","Capital Bra",107448,https://open.spotify.com/track/2s5nIYmnd65kDMLsPw1VuW
33,"Sollte so sein","Capital Bra",106178,https://open.spotify.com/track/08i2ITRSVDkuZ6vXhFMcGg
