,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DNA,"KC Rebell",310366,https://open.spotify.com/track/4BD9yUEFI07WaDJ381DDMq
2,Ferrari,Eno,287792,https://open.spotify.com/track/4AgK0CwpwcekXVdAoYB2VO
3,Prinzessa,"Capital Bra",233622,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP
4,"Gib Ihm","SHIRIN DAVID",180098,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs
5,"Hobby Hobby",MERO,175243,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT
6,"7 rings","Ariana Grande",167930,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
7,"Sweet but Psycho","Ava Max",163654,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
8,"Hallo Hallo",Azet,152308,https://open.spotify.com/track/3aYAAXlB1yvUs5MJ0FI3bh
9,Benzema,"Capital Bra",148172,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E
10,2x,Mathea,140070,https://open.spotify.com/track/2pu5rVWy3zPlgypJzL3Mlw
11,"break up with your girlfriend, i'm bored","Ariana Grande",138071,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
12,"ROMEO & JULIET",Loredana,130804,https://open.spotify.com/track/3uB8KqnEoQq5bTQ1JFHJ7Y
13,"High Hopes","Panic! At The Disco",128351,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
14,"Speechless (feat. Erika Sirola)","Robin Schulz",123597,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
15,"Tausend Tattoos",Sido,123363,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
16,"bury a friend","Billie Eilish",121017,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
17,Leyla,Nimo,119283,https://open.spotify.com/track/08OFGhKf7mK1BGhzMtXaqo
18,"Baller los",MERO,119001,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9
19,"500 PS","Bonez MC",108597,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
20,"Without Me",Halsey,99151,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
21,"Giant (with Rag'n'Bone Man)","Calvin Harris",98378,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
22,Fading,"Alle Farben",97335,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw
23,Wow.,"Post Malone",96929,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
24,JAJA,Fero47,96876,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf
25,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,94235,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
