,Position,Track Name,Artist,Streams,URL,Week,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year
0,1,"thank u, next",Ariana Grande,31187542,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,01-04,0.22899999999999998,['Ariana Grande'],0.7170000000000001,207320.0,0.653,1.0,3e9HZxeyfWwjeyPAMmWSSQ,0.0,1.0,0.10099999999999999,-5.6339999999999995,1.0,85.0,2019-02-08,0.0658,106.96600000000001,0.41200000000000003,2019.0
1,2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,30229896,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,01-04,0.556,"['Post Malone', 'Swae Lee']",0.76,158040.0,0.479,0.0,3KkXRkHbMCARz0aVfEt68P,0.0,2.0,0.0703,-5.574,1.0,86.0,2018-12-14,0.0466,89.911,0.9129999999999999,2018.0
2,3,Wow.,Post Malone,29083499,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,01-04,,,,,,,,,,,,,,,,,,
3,4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,24784744,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,01-04,0.157,"['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']",0.8420000000000001,212500.0,0.8009999999999999,1.0,4w8niZpiMy6qz1mntFA5uM,4.82e-06,8.0,0.0642,-4.167,0.0,81.0,2018-09-28,0.228,95.881,0.617,2018.0
4,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01-04,0.00317,['Eminem'],0.924,290120.0,0.647,0.0,3Q0kSmKpkffn4aWkYkWwet,0.0,7.0,0.193,-3.3489999999999998,1.0,38.0,2002-05-26,0.0712,112.23899999999999,0.6779999999999999,2002.0
5,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01-04,0.0027600000000000003,['Eminem'],0.91,291213.0,0.6609999999999999,1.0,1I1wdcCLTUe8qeg8NGICq0,0.0,7.0,0.35,-2.8139999999999996,1.0,47.0,2005-12-06,0.0694,112.251,0.643,2005.0
6,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01-04,0.0146,['Fame on Fire'],0.611,229412.0,0.868,0.0,0MUuR9j0ymUTi6SxWboCet,0.0,0.0,0.122,-3.995,0.0,64.0,2019-02-13,0.0645,135.947,0.48,2019.0
7,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01-04,0.129,"['Fantasia', 'Kelly Rowland', 'Missy Elliott']",0.713,270787.0,0.687,1.0,63lwbZioX7RZzvQ0sJNd7u,0.0,6.0,0.214,-7.518,0.0,45.0,2013-04-22,0.21,75.014,0.555,2013.0
8,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01-04,0.00286,['Eminem'],0.9079999999999999,290320.0,0.669,1.0,7lQ8MOhq6IN2w8EYcFNSUk,0.0,7.0,0.237,-2.827,1.0,82.0,2002-05-26,0.0738,112.238,0.662,2002.0
9,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01-04,0.297,['Halsey'],0.752,201661.0,0.488,1.0,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6.0,0.0936,-7.05,1.0,84.0,2018-10-04,0.0705,136.041,0.5329999999999999,2018.0
10,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01-04,0.297,['Halsey'],0.752,201661.0,0.488,1.0,6FZDfxM3a3UCqtzo5pxSLZ,9.11e-06,6.0,0.0936,-7.05,1.0,76.0,2020-01-17,0.0705,136.041,0.5329999999999999,2020.0
11,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01-04,0.0027600000000000003,['Eminem'],0.91,291213.0,0.6609999999999999,1.0,2RsTjad1nVUGrQmSoL1m8Y,0.0,7.0,0.35,-2.8139999999999996,1.0,53.0,2005-12-06,0.0694,112.251,0.643,2005.0
