,Position,Track Name,Artist,Streams,URL,Week,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year
118,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.0462,['Mystery Skulls'],0.708,218400.0,0.516,0.0,6uoccjn6gLDixD0EKYH3AY,2.61e-05,9.0,0.20800000000000002,-5.7479999999999976,1.0,48.0,2011-12-28,0.0546,99.99600000000001,0.505,2011.0
119,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.0647,['Leikeli47'],0.938,175147.0,0.59,1.0,7wfQfnNFGWLD0BzcDngCRg,0.0,7.0,0.086,-7.117000000000001,1.0,60.0,2017-09-08,0.282,100.07,0.465,2017.0
120,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.256,['Easy Star All-Stars'],0.772,386213.0,0.755,0.0,5QREkNN2kAKUsXppK9Vrcu,0.0087,11.0,0.0963,-7.375,0.0,48.0,2003-02-18,0.132,133.136,0.89,2003.0
121,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.14,['Speaker Knockerz'],0.8109999999999999,181277.0,0.83,0.0,1KQNv2G5l9Atqw2DTTUGfE,0.0,9.0,0.0868,-7.015,0.0,47.0,2013-04-18,0.0393,143.141,0.883,2013.0
122,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.0241,['Pink Floyd'],0.469,382834.0,0.537,0.0,0vFOzaXqZHahrZp6enQwQb,0.00201,9.0,0.26899999999999996,-10.421,1.0,73.0,1973-03-01,0.152,124.193,0.7829999999999999,1973.0
123,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.00534,['Cardi B'],0.95,183527.0,0.59,1.0,2GGMabyHXnJmjY6CXhhB2e,0.0,8.0,0.11,-6.507999999999999,0.0,77.0,2018-10-23,0.29,130.003,0.21899999999999997,2018.0
124,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.21600000000000005,['The Drums'],0.603,233655.0,0.9179999999999999,0.0,0vAb3U3NJhiuib2B7sJdeJ,0.146,4.0,0.287,-6.652,0.0,61.0,2011-09-06,0.0641,102.473,0.452,2011.0
125,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.428,['Jerry Lee Lewis'],0.594,157512.0,0.85,0.0,5P15Hbdf9wuQpDqfgXUhTe,2.01e-05,9.0,0.20800000000000002,-6.015,0.0,27.0,1961-01-01,0.0367,151.732,0.9620000000000001,1961.0
126,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.0342,['The Flying Lizards'],0.858,338187.0,0.937,0.0,5rgY6vN5CaEL3boucCi3CT,0.142,5.0,0.612,-11.667,1.0,36.0,1979,0.163,130.11700000000002,0.539,1979.0
127,55,Money,Cardi B,8136943,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,01-18,0.39399999999999996,['The Sonics'],0.461,120707.0,0.95,0.0,6qBYciZgi7JqSoNf8g7NpY,0.0,5.0,0.32799999999999996,-5.199,1.0,29.0,1965,0.0641,148.30200000000005,0.8370000000000001,1965.0
128,56,In My Feelings,Drake,8067924,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,01-18,0.0863,['Kevin Gates'],0.7490000000000001,214357.0,0.606,1.0,2WwvvEPtnf60Lh9selqWtv,0.0,5.0,0.13,-5.597,0.0,49.0,2014-12-15,0.34600000000000003,124.527,0.474,2014.0
129,56,In My Feelings,Drake,8067924,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,01-18,0.0553,['Lana Del Rey'],0.54,238719.0,0.674,1.0,269xqcgGTN9PlivhUkOLhX,0.0608,2.0,0.11199999999999999,-6.351,1.0,63.0,2017-07-21,0.0802,89.93299999999998,0.309,2017.0
130,56,In My Feelings,Drake,8067924,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,01-18,0.0293,['Kehlani'],0.556,219596.0,0.723,1.0,4cA6e3U7mtJfAOq3dWNAUZ,0.0,0.0,0.13,-5.337999999999999,1.0,58.0,2017-01-27,0.149,110.62799999999999,0.555,2017.0
131,56,In My Feelings,Drake,8067924,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,01-18,0.0589,['Drake'],0.835,217925.0,0.626,1.0,2G7V7zsVDxg1yRsu7Ew9RJ,5.9999999999999995e-05,1.0,0.396,-5.8329999999999975,1.0,81.0,2018-06-29,0.125,91.03,0.35,2018.0
132,57,Natural,Imagine Dragons,8058139,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,01-18,0.217,['Imagine Dragons'],0.7040000000000001,189467.0,0.611,0.0,2FY7b99s15jUprqC0M5NCT,0.0,2.0,0.0812,-6.112,1.0,82.0,2018-11-09,0.0409,100.0,0.22,2018.0
133,58,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,8001340,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,01-18,0.0235,"['A Boogie Wit da Hoodie', 'Tyga', 'Offset']",0.736,192779.0,0.622,1.0,6uSSupG4TMu3vW8QgynAB6,0.0,6.0,0.151,-4.6530000000000005,0.0,62.0,2018-12-14,0.133,191.97099999999998,0.506,2018.0
134,58,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,8001340,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,01-18,0.0235,"['A Boogie Wit da Hoodie', 'Tyga', 'Offset']",0.736,192779.0,0.622,1.0,0jAfdqv18goRTUxm3ilRjb,0.0,6.0,0.151,-4.6530000000000005,0.0,69.0,2018-12-21,0.133,191.97099999999998,0.506,2018.0
135,59,Love Someone,Lukas Graham,7951539,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,01-18,0.172,['Lukas Graham'],0.5379999999999999,205440.0,0.409,0.0,0OCRwXbQRdOZ1OtB4Imsp1,0.0,9.0,0.11,-6.581,0.0,71.0,2018-10-26,0.0505,171.838,0.265,2018.0
136,59,Love Someone,Lukas Graham,7951539,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,01-18,0.306,['Jason Mraz'],0.579,256973.0,0.363,0.0,1qvToOLpOdxoxmEyebs0Wi,0.00692,7.0,0.111,-14.185,1.0,47.0,2014-07-13,0.0308,97.955,0.0754,2014.0
137,59,Love Someone,Lukas Graham,7951539,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,01-18,0.218,['Brett Eldredge'],0.423,211720.0,0.813,0.0,43CFDpciGFDm226POTLEXU,1.62e-06,9.0,0.0732,-5.011,1.0,67.0,2017-08-04,0.0507,173.995,0.42100000000000004,2017.0
138,59,Love Someone,Lukas Graham,7951539,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,01-18,0.161,['Lukas Graham'],0.55,205463.0,0.415,0.0,2JqnpexlO9dmvjUMCaLCLJ,0.0,9.0,0.10800000000000001,-6.557,0.0,75.0,2018-09-07,0.052000000000000005,172.065,0.27399999999999997,2018.0
139,60,Nonstop,Drake,7907759,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,01-18,0.171,['OH MY GIRL'],0.753,202760.0,0.91,0.0,5joNJn9LUvYcamWwa2iYCL,0.0,0.0,0.3670000000000001,-2.591,1.0,71.0,2020-04-27,0.0517,123.98299999999999,0.825,2020.0
140,60,Nonstop,Drake,7907759,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,01-18,0.0164,['Drake'],0.912,238614.0,0.41200000000000003,1.0,0TlLq3lA83rQOYtrqBqSct,0.013000000000000001,7.0,0.10400000000000001,-8.074,1.0,81.0,2018-06-29,0.124,154.983,0.42200000000000004,2018.0
141,61,Beautiful (feat. Camila Cabello),Bazzi,7868930,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,01-18,0.34600000000000003,"['Bazzi', 'Camila Cabello']",0.638,180000.0,0.7170000000000001,0.0,4VUwkH455At9kENOfzTqmF,0.0,2.0,0.105,-4.7219999999999995,1.0,79.0,2018-08-02,0.0337,100.027,0.249,2018.0
142,62,Imposible,Luis Fonsi,7830882,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,01-18,0.951,['Cuco Sánchez'],0.5,130600.0,0.113,0.0,11EDAN6sOENViR89CQyNGI,0.00115,2.0,0.146,-16.215,1.0,0.0,1954,0.0367,110.609,0.3670000000000001,1954.0
143,62,Imposible,Luis Fonsi,7830882,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,01-18,0.122,"['Luis Fonsi', 'Ozuna']",0.7859999999999999,163880.0,0.764,0.0,3ao3OVxHlb3C08vAaApUlm,0.0,11.0,0.102,-2.935,1.0,71.0,2018-10-19,0.0798,90.979,0.9129999999999999,2018.0
144,63,Jocelyn Flores,XXXTENTACION,7677165,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,01-18,0.469,['XXXTENTACION'],0.872,119133.0,0.391,1.0,7m9OqQk4RVRkw9JJdeAw96,4.13e-06,0.0,0.297,-9.144,0.0,87.0,2017-08-25,0.242,134.02100000000002,0.4370000000000001,2017.0
145,64,Let You Love Me,Rita Ora,7667156,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,01-18,,,,,,,,,,,,,,,,,,
146,65,no tears left to cry,Ariana Grande,7638105,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,01-18,0.04,['Ariana Grande'],0.6990000000000001,205920.0,0.713,0.0,2qT1uLXPVPzGgFOx4jtEuo,3.11e-06,9.0,0.294,-5.5070000000000014,0.0,82.0,2018-08-17,0.0594,121.993,0.354,2018.0
147,66,Amanece,Anuel AA,7613788,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,01-18,0.21,['Caifanes'],0.55,193760.0,0.9259999999999999,0.0,0iFlO6zAJQf5tAwScQXWOx,0.000205,9.0,0.5670000000000001,-5.343,1.0,47.0,1988-05-15,0.0535,109.79700000000001,0.414,1988.0
148,66,Amanece,Anuel AA,7613788,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,01-18,0.4370000000000001,"['Anuel AA', 'Haze']",0.79,190005.0,0.631,0.0,1LiN0Z98FkR1t0m8KmLcAH,0.0,8.0,0.158,-5.5489999999999995,0.0,75.0,2018-12-14,0.0425,94.039,0.889,2018.0
149,67,BEBE,6ix9ine,7584716,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,01-18,0.172,"['6ix9ine', 'Anuel AA']",0.635,217822.0,0.902,1.0,6mKs2kkBgvf090H566n1pd,0.0,0.0,0.125,-3.5589999999999997,1.0,78.0,2018-11-27,0.109,102.06299999999999,0.28600000000000003,2018.0
150,68,Cuando Te Besé,Becky G,7557816,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,01-18,,,,,,,,,,,,,,,,,,
151,69,KIKA,6ix9ine,7554171,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,01-18,0.128,"['6ix9ine', 'Tory Lanez']",0.745,136032.0,0.715,1.0,6VRwEqn7BvsN0dChfDrMAf,0.0,1.0,0.182,-3.3680000000000003,0.0,78.0,2018-11-27,0.245,94.51299999999999,0.342,2018.0
152,70,idontwannabeyouanymore,Billie Eilish,7545015,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,01-18,0.737,['Billie Eilish'],0.483,203569.0,0.41200000000000003,0.0,41zXlQxzTi6cGAjpOXyLYH,0.0,7.0,0.11599999999999999,-8.461,1.0,82.0,2017-12-22,0.0402,170.16299999999995,0.247,2017.0
153,71,Happy Now,Kygo,7501835,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,01-18,0.374,"['Kygo', 'Sandro Cavazza']",0.693,211362.0,0.575,0.0,14sOS5L36385FJ3OL8hew4,0.0,9.0,0.252,-6.9979999999999976,1.0,79.0,2018-10-26,0.0801,117.999,0.4920000000000001,2018.0
154,71,Happy Now,Kygo,7501835,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,01-18,0.579,"['Zedd', 'Elley Duhé']",0.503,207030.0,0.741,0.0,4keoy2fqgwGnbWlm3ZVZFa,1.49e-06,4.0,0.0712,-5.127999999999999,1.0,77.0,2018-07-18,0.047,88.335,0.45799999999999996,2018.0
155,72,Psycho (feat. Ty Dolla $ign),Post Malone,7478237,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,01-18,0.546,"['Post Malone', 'Ty Dolla $ign']",0.75,221440.0,0.56,1.0,3swc6WTsr7rl9DqQKQA55C,0.0,8.0,0.111,-8.094,1.0,81.0,2018-04-27,0.105,140.06,0.45899999999999996,2018.0
156,73,2002,Anne-Marie,7401219,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,01-18,0.0372,['Anne-Marie'],0.6970000000000001,186987.0,0.6829999999999999,0.0,2BgEsaKNfHUdlh97KmvFyo,0.0,1.0,0.13699999999999998,-2.8810000000000002,0.0,82.0,2018-04-27,0.11699999999999999,96.133,0.603,2018.0
157,73,2002,Anne-Marie,7401219,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,01-18,0.0372,['Anne-Marie'],0.6970000000000001,186987.0,0.6829999999999999,0.0,4Pbg79cTBu4vgSphoyNq3j,0.0,1.0,0.13699999999999998,-2.8810000000000002,0.0,74.0,2018-04-19,0.11699999999999999,96.133,0.603,2018.0
158,74,Body (feat. brando),Loud Luxury,7394853,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,01-18,,,,,,,,,,,,,,,,,,
159,75,Shape of You,Ed Sheeran,7367186,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01-18,0.581,['Ed Sheeran'],0.825,233713.0,0.652,0.0,7qiZfU4dY1lWllzX7mPBI3,0.0,1.0,0.0931,-3.1830000000000003,0.0,85.0,2017-03-03,0.0802,95.977,0.9309999999999999,2017.0
160,75,Shape of You,Ed Sheeran,7367186,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01-18,0.581,['Ed Sheeran'],0.825,233713.0,0.652,0.0,0FE9t6xYkqWXU2ahLh6D8X,0.0,1.0,0.0931,-3.1830000000000003,0.0,73.0,2017-01-06,0.0802,95.977,0.9309999999999999,2017.0
161,76,Bubalu,Becky G,7356038,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,01-18,0.616,"['Becky G', 'Prince Royce', 'DJ Luian', 'Mambo Kingz', 'Anuel AA']",0.8,228493.0,0.355,0.0,7dNwJbsT0sg1le5kVugGJb,0.0,6.0,0.11800000000000001,-10.47,0.0,72.0,2018-11-06,0.0895,145.929,0.253,2018.0
162,77,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,7324667,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,01-18,0.237,"['James Arthur', 'Anne-Marie']",0.67,218293.0,0.743,0.0,78nplE9X2ZGvQh3TKgvldE,0.0,10.0,0.465,-4.993,1.0,71.0,2018-11-16,0.0393,125.944,0.5710000000000001,2018.0
163,77,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,7324667,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,01-18,0.237,"['James Arthur', 'Anne-Marie']",0.67,218293.0,0.743,0.0,6mQLN3zRtAp6ovjusyYKrV,0.0,10.0,0.465,-4.993,1.0,74.0,2018-10-25,0.0393,125.944,0.5710000000000001,2018.0
164,78,One Kiss (with Dua Lipa),Calvin Harris,7303078,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,01-18,0.037000000000000005,"['Calvin Harris', 'Dua Lipa']",0.7909999999999999,214847.0,0.862,0.0,7ef4DlsgrMEH11cDZd32M6,2.1899999999999997e-05,9.0,0.0814,-3.24,0.0,84.0,2018-04-06,0.11,123.994,0.5920000000000001,2018.0
165,79,Crushed Up,Future,7199292,https://open.spotify.com/track/7AYuSG1LoaaFVKjOxsB6Vh,01-18,0.0415,['Future'],0.7809999999999999,149949.0,0.597,1.0,7wcyO1rrH3Ru4t659IjG41,0.0,10.0,0.152,-6.794,0.0,65.0,2019-01-18,0.23,158.043,0.544,2019.0
166,80,BAD!,XXXTENTACION,7114933,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,01-18,0.0643,['XXXTENTACION'],0.78,94246.0,0.4920000000000001,0.0,4CH66Rxcjcj3VBHwmIBj4T,0.0313,5.0,0.174,-3.4,0.0,69.0,2018-11-09,0.0671,143.983,0.374,2018.0
167,80,BAD!,XXXTENTACION,7114933,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,01-18,0.0643,['XXXTENTACION'],0.78,94246.0,0.4920000000000001,0.0,22An65gG31JLf9n18qjdhZ,0.0313,5.0,0.174,-3.4,0.0,70.0,2018-12-07,0.0671,143.983,0.374,2018.0
168,81,Reggaeton,J Balvin,6966608,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,01-18,0.0165,['J Balvin'],0.747,158800.0,0.74,0.0,2D3z17LBMJ2HEHeBFFjTLi,9.940000000000003e-05,4.0,0.10099999999999999,-4.325,0.0,73.0,2018-11-17,0.191,176.05900000000003,0.552,2018.0
169,82,Solo (feat. Demi Lovato),Clean Bandit,6941759,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,01-18,0.0357,"['Clean Bandit', 'Demi Lovato']",0.74,222707.0,0.622,0.0,3NuK5xMlSlB6K2Qp16zf3h,4.85e-05,11.0,0.35600000000000004,-4.6080000000000005,0.0,72.0,2018-11-30,0.0446,104.96600000000001,0.556,2018.0
170,82,Solo (feat. Demi Lovato),Clean Bandit,6941759,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,01-18,0.0441,"['Clean Bandit', 'Demi Lovato']",0.737,222653.0,0.636,0.0,6kPJZM97LwdG9QIsT7khp6,6.659999999999999e-05,11.0,0.35,-4.546,0.0,77.0,2018-05-17,0.0437,105.005,0.565,2018.0
171,83,Believer,Imagine Dragons,6879520,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,01-18,0.00141,['American Authors'],0.583,183893.0,0.968,0.0,64ybTt8CKxPdeXBNnu08Op,0.0115,1.0,0.13,-2.909,1.0,53.0,2014-01-01,0.0368,119.999,0.91,2014.0
