,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
451,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,colombia
452,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,12/31/1969,105,72,72,-7,24,67,222,3,7,97,colombia
453,Tusa,KAROL G,latin,2019,12/31/1969,101,72,80,-3,6,57,201,30,30,96,colombia
454,China,Anuel AA,latin,2019,12/31/1969,105,81,79,-4,8,61,302,8,9,94,colombia
455,Vete,Bad Bunny,latin,2019,12/31/1969,92,67,89,-4,10,53,192,4,19,94,colombia
456,Fantasias,Rauw Alejandro,latin,2019,12/31/1969,94,70,88,-4,6,79,200,14,7,93,colombia
457,LA CANCIÓN,J Balvin,latin,2019,12/31/1969,176,65,75,-6,11,43,243,15,32,93,colombia
458,Callaita,Bad Bunny,latin,2019,12/31/1969,176,62,61,-5,24,24,251,60,31,92,colombia
459,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,12/31/1969,80,84,73,-5,18,62,271,2,7,92,colombia
460,Whine Up,Nicky Jam,latin,2019,12/31/1969,105,67,82,-6,10,66,215,5,8,91,colombia
461,Que Tire Pa Lante,Daddy Yankee,latin,2019,12/31/1969,94,90,66,-3,12,71,211,5,4,91,colombia
462,Quizas,Rich Music LTD,reggaeton,2019,12/31/1969,176,82,73,-2,23,68,216,3,15,90,colombia
463,Indeciso,Reik,latin,2019,12/31/1969,95,75,74,-5,11,90,217,18,5,90,colombia
464,Tutu,Camilo,colombian pop,2019,12/31/1969,146,83,73,-3,7,94,179,27,5,90,colombia
465,Si Te Vas,Sech,panamanian pop,2019,12/31/1969,174,64,73,-4,14,55,205,9,13,90,colombia
466,Aventura,Lunay,latin,2019,12/31/1969,92,73,73,-3,10,88,217,22,4,90,colombia
467,Hola - Remix,Dalex,latin,2019,12/31/1969,182,67,65,-6,8,34,250,47,31,89,colombia
468,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,colombia
469,No Me Conoce - Remix,Jhay Cortez,latin,2019,12/31/1969,92,79,81,-4,9,58,309,14,7,88,colombia
470,QUE PRETENDES,J Balvin,latin,2019,12/31/1969,93,79,64,-4,36,94,222,3,25,88,colombia
471,Con Altura,ROSALÍA,r&b en espanol,2019,12/31/1969,98,69,88,-4,5,75,162,39,12,88,colombia
472,0.958333333,Maluma,latin,2019,12/31/1969,96,71,78,-5,9,68,176,22,28,88,colombia
473,Blanco,J Balvin,latin,2019,12/31/1969,100,71,87,-5,9,59,146,3,13,87,colombia
474,Qué Pena,Maluma,latin,2019,12/31/1969,126,66,64,-6,34,86,213,10,36,87,colombia
475,Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,12/31/1969,90,54,73,-5,14,64,227,26,5,87,colombia
476,Bellaquita - Remix,Dalex,latin,2019,12/31/1969,166,72,80,-4,18,76,305,14,8,87,colombia
477,Sigues Con El,Dimelo Flow,latin,2019,12/31/1969,88,67,88,-3,7,68,227,11,11,83,colombia
478,Loco,Beéle,NA,2019,12/31/1969,105,56,82,-6,5,77,204,16,17,82,colombia
479,Soltera - Remix,Lunay,latin,2019,12/31/1969,92,78,80,-4,44,80,266,36,4,80,colombia
480,Alguien Me Gusta,Andy Rivera,latin,2019,12/31/1969,93,52,67,-4,37,81,169,45,4,70,colombia
481,Dulce Pecado,Jessi Uribe,colombian pop,2019,12/31/1969,176,51,64,-4,13,77,175,61,5,63,colombia
489,Aventurero,Yeison Jimenez,colombian pop,2019,12/31/1969,93,63,85,-4,13,90,190,51,3,54,colombia
