,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",649177,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Ride It",Regard,321724,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
3,"Lose You To Love Me","Selena Gomez",296301,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
4,Memories,"Maroon 5",276459,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Someone You Loved","Lewis Capaldi",237492,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
6,Lalala,Y2K,236724,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
7,Señorita,"Shawn Mendes",235429,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"Hoe Het Danst","Marco Borsato",227802,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
9,Circles,"Post Malone",225341,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
10,Reünie,Snelle,217470,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
11,POPOPOP,Gambi,215831,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
12,"Don't Start Now","Dua Lipa",213105,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
13,"HIGHEST IN THE ROOM","Travis Scott",207451,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
14,"Beautiful People (feat. Khalid)","Ed Sheeran",176366,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
15,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",174470,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
16,Instagram,"Dimitri Vegas & Like Mike",174461,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
17,"bad guy","Billie Eilish",172732,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,"Sun is Shining","Lost Frequencies",169655,https://open.spotify.com/track/5ucCPnp8gVYluxSXiy4J5d
19,Pookie,"Aya Nakamura",168241,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD
20,Ransom,"Lil Tecca",161076,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
21,"Takeaway (feat. Lennon Stella)","The Chainsmokers",156099,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
22,"How Do You Sleep?","Sam Smith",155324,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
23,Lippenstift,"Marco Borsato",154722,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
24,"Piece Of Your Heart",MEDUZA,149054,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
25,"Trampoline (with ZAYN)",SHAED,146185,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
26,"hot girl bummer",blackbear,145116,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
27,Liar,"Camila Cabello",144610,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
28,"Higher Love",Kygo,142449,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
29,"Lose Control",MEDUZA,136994,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
30,"HÉ OH",Gambi,131266,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
31,Ritual,Tiësto,128344,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
32,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",127301,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
