,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
48,"Happy Now",Kygo,83877,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
49,Viraal,Frenna,83201,https://open.spotify.com/track/1oDGSDSB1WMKOJ9Uan2xhK
50,"Verleden Tijd",Frenna,82097,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe
51,"Better Now","Post Malone",81513,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
52,"SICKO MODE","Travis Scott",80413,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
53,"Girls Like You (feat. Cardi B)","Maroon 5",76908,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
54,"One Kiss (with Dua Lipa)","Calvin Harris",76624,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
55,"a lot","21 Savage",75015,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
56,"Like I Love You (feat. The NGHBRS)","Lost Frequencies",73884,https://open.spotify.com/track/30K9xVNSog0DVr5ey5yVoY
57,lovely,"Billie Eilish",73157,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
58,"Lucid Dreams","Juice WRLD",71210,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
59,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,70306,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
60,"MIA (feat. Drake)","Bad Bunny",68902,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
61,"Lost in the Fire",Gesaffelstein,68891,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
62,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,68835,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
63,Rise,"Jonas Blue",67168,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
64,"Racks on Racks","Lil Pump",67143,https://open.spotify.com/track/0SfG57HqtBNqKN9O27fo1s
65,1000°C,Lomepal,65893,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou
66,Natural,"Imagine Dragons",65820,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
67,"Trop beau",Lomepal,65703,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
68,"Electricity (with Dua Lipa)","Silk City",65151,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
69,"Solo (feat. Demi Lovato)","Clean Bandit",61706,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
70,"Shape of You","Ed Sheeran",61625,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
71,FRIENDS,Marshmello,61600,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
72,"Swan Song - From the Motion Picture ""Alita: Battle Angel""","Dua Lipa",61287,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
73,easy,"Henri PFR",60297,https://open.spotify.com/track/5j7EWOABg2RqWt6pDqzHZm
74,"rockstar (feat. 21 Savage)","Post Malone",60294,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
