,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",351551,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,SOS,Avicii,320176,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
3,"Old Town Road","Lil Nas X",310302,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
4,"Don't Call Me Up",Mabel,293257,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
5,"Let Me Down Slowly","Alec Benjamin",250430,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
6,"Con Calma","Daddy Yankee",248077,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
7,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",245660,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
8,"Au DD",PNL,229446,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu
9,"Balance ton quoi",Angèle,228720,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa
10,"Giant (with Rag'n'Bone Man)","Calvin Harris",223405,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
11,Sucker,"Jonas Brothers",216917,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
12,Shallow,"Lady Gaga",213758,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
13,"7 rings","Ariana Grande",212021,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
14,"bury a friend","Billie Eilish",194777,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
15,"Sweet but Psycho","Ava Max",189347,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
16,"Someone You Loved","Lewis Capaldi",184483,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
17,"Tout oublier",Angèle,173869,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71
18,"High Hopes","Panic! At The Disco",170953,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
19,"Always Remember Us This Way","Lady Gaga",158588,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
20,Wow.,"Post Malone",150746,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
21,"Bad Liar","Imagine Dragons",147336,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
22,"Speechless (feat. Erika Sirola)","Robin Schulz",146697,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
23,"Dancing With A Stranger (with Normani)","Sam Smith",146190,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
24,"Be Alright","Dean Lewis",141094,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
25,"Here With Me",Marshmello,140004,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
26,Malade,"Roméo Elvis",134052,https://open.spotify.com/track/35e7ckbWgHjHI9n3oL6jnd
27,Happier,Marshmello,130835,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
28,"Who Do You Love","The Chainsmokers",122697,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
29,"when the party's over","Billie Eilish",119963,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
