,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",420417,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",367604,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"bad guy","Billie Eilish",366441,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,Arcade,"Duncan Laurence",338623,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
5,SOS,Avicii,299431,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
6,"Someone You Loved","Lewis Capaldi",297670,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
7,"Old Town Road","Lil Nas X",283588,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
8,"Piece Of Your Heart",MEDUZA,282702,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
9,"Don't Call Me Up",Mabel,271669,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
10,"If I Can't Have You","Shawn Mendes",224168,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
11,"Balance ton quoi",Angèle,219576,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa
12,"Con Calma","Daddy Yankee",219499,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
13,"Let Me Down Slowly","Alec Benjamin",211130,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
14,Sucker,"Jonas Brothers",197684,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
15,Shallow,"Lady Gaga",192262,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
16,"Giant (with Rag'n'Bone Man)","Calvin Harris",183567,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
17,"Als Het Avond Is","Suzan & Freek",178991,https://open.spotify.com/track/3ciQQMSy1lKDqJbwU9l1LT
18,"So Am I","Ava Max",174712,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
19,"Power Over Me","Dermot Kennedy",165108,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
