Position,"Track Name",Artist,URL
1,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Yo x Ti, Tu x Mi",ROSALÍA,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
4,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"Adicto (with Anuel AA & Ozuna)",Tainy,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
7,"Ayy Macarena",Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
8,Zorra,"Bad Gyal",https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
9,"Trampoline (with ZAYN)",SHAED,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
10,"LA CANCIÓN","J Balvin",https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
11,"Every Breath You Take","The Police",https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
12,"Watermelon Sugar","Harry Styles",https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,Milionària,ROSALÍA,https://open.spotify.com/track/2K3bjojp1sCLdMMoO5lJ2p
15,"Beautiful People (feat. Khalid)","Ed Sheeran",https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
16,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
17,"La Mentira (feat. Joaquín Sabina)","Dani Martín",https://open.spotify.com/track/21by4HhbV3w4uUNrotR02z
18,"Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky)",Dvicio,https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9
19,"Speechless (feat. Erika Sirola)","Robin Schulz",https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
20,Ritual,Tiësto,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
21,"Aute Cuture",ROSALÍA,https://open.spotify.com/track/7dQFpbs34ufIEU745DVclf
22,"She Don't Give a Fo",Duki,https://open.spotify.com/track/03a359wbiUsjN9h6yzXvmS
23,"Rebota - Remix",Guaynaa,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11
24,Family,"The Chainsmokers",https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL
25,SAD!,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
26,"Dust in the Wind",Kansas,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI
27,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
28,Bailemos,"Manuel Turizo",https://open.spotify.com/track/1ScD7XQYCKmJ3fdNh71lUE
29,"Crazy Little Thing Called Love - Remastered 2011",Queen,https://open.spotify.com/track/6xdLJrVj4vIXwhuG8TMopk
30,"Noches de bohemia - Radio Edit","Navajita Platea",https://open.spotify.com/track/1JpZMDDAkfhnrO6nXIQZ2g
31,"Pero a tu lado","Los Secretos",https://open.spotify.com/track/3JOXwHPhtdRU3kYKcf64Gj
32,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
33,"We Got That Cool (feat. Afrojack & Icona Pop)","Yves V",https://open.spotify.com/track/2cFK03sObtI6AK3QKeOT5g
34,"More Than You Know","Axwell /\ Ingrosso",https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
35,"Can We Kiss Forever?",Kina,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
36,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
37,Nada,Cazzu,https://open.spotify.com/track/7DOh0tBGnyMt6C5OO7o8Yq
38,"Better When You're Gone","David Guetta",https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
39,"Dispara Lentamente","Manuel Carrasco",https://open.spotify.com/track/7H7aKN52utTwhnM8LwDCOM
40,"Dream On",Aerosmith,https://open.spotify.com/track/3tAQNhm1o0kzldsI5QkrB1
41,Crazy,"Gnarls Barkley",https://open.spotify.com/track/1vxw6aYJls2oq3gW0DujAo
42,"No Sleep (feat. Bonn)","Martin Garrix",https://open.spotify.com/track/6FgizSVbAupclpzFX0SMxE
43,"Cuando me siento bien","Efecto Pasillo",https://open.spotify.com/track/2xUl8Bp6eLddk5mdv8I2Wo
44,"I Love Rock 'N Roll","Joan Jett & The Blackhearts",https://open.spotify.com/track/2Cdvbe2G4hZsnhNMKyGrie
45,"Boy Band",Manel,https://open.spotify.com/track/3azRnIJShgq5o6jbkej4GB
46,"223's (feat. 9lokknine)","YNW Melly",https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
47,"Nothing On You (feat. Paulo Londra & Dave)","Ed Sheeran",https://open.spotify.com/track/2qRN7PWiHRLprw4FpDeI9N
48,"La Lá","Mike Bahía",https://open.spotify.com/track/1MYMEtHi6fmmGiDFLrBiY3
49,Congratulations,"Post Malone",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
50,"Ven a Ver",DELLAFUENTE,https://open.spotify.com/track/2sl3cuvBbQhM95mwW6leHg
