Position,"Track Name",Artist,URL
1,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,Morado,"J Balvin",https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
4,"RITMO (Bad Boys For Life)","Black Eyed Peas",https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
5,Fantasias,"Rauw Alejandro",https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
6,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"MALA SANTA","Becky G",https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd
8,"What If I Told You That I Love You","Ali Gatie",https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
9,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
10,Mirándote,Rvfv,https://open.spotify.com/track/6wywJ7RutAY0JL7cMP7uFN
11,"Te echo de menos",Beret,https://open.spotify.com/track/1YgPkZ6GOwajDveEsuy3uH
12,"Don't Stop Me Now - 2011 Mix",Queen,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
13,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
14,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dímelo Flow",https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
15,"Viva La Vida",Coldplay,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
16,"No Puedo Vivir Sin Ti","Los Ronaldos",https://open.spotify.com/track/1EC0JRoSi9YL5zExd3Euc3
17,Perdón,"David Bisbal",https://open.spotify.com/track/0Cr4tOaucO06eLJpXI3wXI
18,"Losing It",FISHER,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi
19,Dímelo,Melendi,https://open.spotify.com/track/4UrNUEsjjw96m2uC7o9kHQ
20,"I Still Haven't Found What I'm Looking For",U2,https://open.spotify.com/track/6wpGqhRvJGNNXwWlPmkMyO
21,"Qué Bien",IZAL,https://open.spotify.com/track/3iaj0MtII6VPVhwQa4eeX3
22,"Perro Fiel (feat. Nicky Jam)",Shakira,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
23,"Is This Love","Bob Marley & The Wailers",https://open.spotify.com/track/6JRLFiX9NJSoRRKxowlBYr
24,"Pa amb Oli I Sal",Blaumut,https://open.spotify.com/track/7mKkpSKp0Gba3aWSkcVvL2
25,"Chantaje (feat. Maluma)",Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
26,"Mirando al cielo (feat. Rozalén) - X Aniversario",Huecco,https://open.spotify.com/track/59CdyMTI878gUG87xaDcxF
27,Clandestino,Shakira,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
28,"Dispara Lentamente","Manuel Carrasco",https://open.spotify.com/track/7H7aKN52utTwhnM8LwDCOM
29,"Tainted Love","Soft Cell",https://open.spotify.com/track/0cGG2EouYCEEC3xfa0tDFV
30,"Good News","Mac Miller",https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
31,"Modo Turbio",Kaze,https://open.spotify.com/track/0prUbzY7PrJujuukMXCWbB
32,"Te Olvidaré",MYA,https://open.spotify.com/track/4jrZI0XdexLjrHlBwLbhzL
33,"Solo Si Es Contigo (feat. Bebe)",Bombai,https://open.spotify.com/track/0Ttqiz6DNvPkThvbnr9vYJ
34,Suavemente,"Elvis Crespo",https://open.spotify.com/track/7JIjUx3GsL0upxmNJacmtz
35,"No Puedo","Paulo Londra",https://open.spotify.com/track/6MbSMSXrSlvsyHf4kcaLQi
36,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","Amy Winehouse",https://open.spotify.com/track/6nLvaCZFR1wEzW3sIKpsnr
37,Mother,"Charlie Puth",https://open.spotify.com/track/6rVNnvyNeibts1uOqdSNIw
38,"Streets of Philadelphia - Single Edit","Bruce Springsteen",https://open.spotify.com/track/3fbnbn6A5O5RNb08tlUEgd
39,Atrévete,"Yago Roche",https://open.spotify.com/track/07Lxxln9lZ8m0hT6EySTCe
40,"La Tortura (feat. Alejandro Sanz)",Shakira,https://open.spotify.com/track/5BSclXJTa9B0iURhUjZo50
41,"De Veritat",Blaumut,https://open.spotify.com/track/3WdvXJlBVTk2HHJ8d2LZzm
42,"Nothing Compares 2 U","Sinéad O'Connor",https://open.spotify.com/track/3nvuPQTw2zuFAVuLsC9IYQ
43,"Sunset Lover","Petit Biscuit",https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
44,Colegas,Babi,https://open.spotify.com/track/2cCAtgB5XDZJSRYzA6kmWY
45,"En Cero",Yandel,https://open.spotify.com/track/51uLQESb4VnYAbs5WtGxho
46,"Mitad y Mitad",Kase.O,https://open.spotify.com/track/6kPwvezY3O4b0KZEUukgyc
47,"La Despedida","Daddy Yankee",https://open.spotify.com/track/6XE2V2icEranw5YpS4WMDD
48,"Quiero verte","Marta Soto",https://open.spotify.com/track/6J50zet6AE4p62lBmPrwAD
49,"Lo Que en Silencio Guardo",Kaze,https://open.spotify.com/track/5ZSHDuhxImgtzSglqEPWJ3
50,"Love Will Tear Us Apart","Joy Division",https://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
