,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Royal Rumble",Kalazh44,338353,https://open.spotify.com/track/4Rif4wqdvzy84dhP1apC4Y
2,"Diamonds (feat. Capital Bra)","Summer Cem",290540,https://open.spotify.com/track/2QpxC2yag7Ec7Ut1dovXKb
3,"I Don't Care (with Justin Bieber)","Ed Sheeran",248959,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
4,"Maghreb Gang (feat. French Montana & Khaled)","Farid Bang",233794,https://open.spotify.com/track/1IBUPdwV9TvaipSODdt8QY
5,Olabilir,MERO,233645,https://open.spotify.com/track/5b195aHKKd6oTr4f7DoRCo
6,"bad guy","Billie Eilish",219431,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
7,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",217550,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
8,"Wieder Lila",Samra,202499,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
9,"She Got Me","Luca Hänni",181828,https://open.spotify.com/track/6TNK1SFt77MvTFoiTloiFQ
10,"Someone You Loved","Lewis Capaldi",176814,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,"Con Calma","Daddy Yankee",175999,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
12,"SOS (feat. Aloe Blacc)",Avicii,170972,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
13,"La Haine",Luciano,166859,https://open.spotify.com/track/2AHJLtc81zIfj9EKcVEzmJ
14,"Old Town Road","Lil Nas X",162386,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
15,"Loco Contigo (with J. Balvin & Tyga)","DJ Snake",149989,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
16,"Piece Of Your Heart",MEDUZA,146114,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
17,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",142651,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
18,"Rescue Me",OneRepublic,136879,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
19,NENENE,Fero47,134840,https://open.spotify.com/track/5AiqL0ezAAauDuVK5EJvXU
20,Tricheur,Nekfeu,134012,https://open.spotify.com/track/5ZwRTJD1bTACtIuW5Iibnu
21,Labyrinth,Loredana,133490,https://open.spotify.com/track/1mLBX54nL0dwn54jesMXGU
22,"Go Loko (feat. Tyga, Jon Z)",YG,128417,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
23,"Irina Shayk",Ufo361,123047,https://open.spotify.com/track/4Sokm1cWK36H2WctWWRGf1
24,Sucker,"Jonas Brothers",122570,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
25,"The London (feat. J. Cole & Travis Scott)","Young Thug",121336,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
26,"Calma - Remix","Pedro Capó",119257,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
27,"No Guidance (feat. Drake)","Chris Brown",116848,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc
28,"Don't Call Me Up",Mabel,116494,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
29,Melatonin,Sido,115457,https://open.spotify.com/track/6MGeF4nX2Ty408EjLGNtqc
30,Soldi,Mahmood,114366,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
31,Shallow,"Lady Gaga",114043,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
32,"If I Can't Have You","Shawn Mendes",112972,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
33,"Otro Trago",Sech,108532,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
34,"Money In The Grave (Drake ft. Rick Ross)",Drake,108226,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
35,"Te Robaré","Nicky Jam",102639,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
36,Heaven,Avicii,99823,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
37,"a miLLy",Dardan,97720,https://open.spotify.com/track/6kpOQJOBX0TjGkJk7oX7Pw
38,"Sweet but Psycho","Ava Max",92628,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
39,"You Need To Calm Down","Taylor Swift",91391,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
40,"Vermissen (feat. Henning May)",Juju,91076,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
41,Badewanne,"KC Rebell",89975,https://open.spotify.com/track/4qUjPb9J51kZ0PrGZWtpVc
42,"cOcO MAmA",Dardan,89435,https://open.spotify.com/track/0oOPa0AlLnjCO6eci0HIdH
43,Nautilus,Shindy,88254,https://open.spotify.com/track/7IkZpSOJKGXCGhqAvHs7FG
44,"Never Go Back","Dennis Lloyd",87941,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
45,"Let Me Down Slowly","Alec Benjamin",87657,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
46,"11 PM",Maluma,87541,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
47,"Never Really Over","Katy Perry",86209,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
48,"Call You Mine","The Chainsmokers",85961,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
49,"Always Remember Us This Way","Lady Gaga",85940,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
50,"Haute (feat. J Balvin & Chris Brown)",Tyga,84589,https://open.spotify.com/track/1jlnBQGP2DtSEhMgQaz7a7
51,"Alexander Wang",Capo,83605,https://open.spotify.com/track/22Wg0tDL6LvVphBUpQYu3c
52,"So Am I","Ava Max",83087,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
53,"Marlboro Rot",Samra,82301,https://open.spotify.com/track/4e6l3QGj4RZesjDLVqYk3H
54,Punto,"Loco Escrito",81084,https://open.spotify.com/track/17Xaa5Iikz9Mhqzkgg4Wy4
55,Callaita,"Bad Bunny",79546,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
56,Rolex,"Capital Bra",78048,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF
57,"All Around The World (La La La)",R3HAB,77964,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
58,"Bad Liar","Imagine Dragons",77657,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
59,"Cherry Lady","Capital Bra",76960,https://open.spotify.com/track/4j5WelE5mkf9A2jmts729h
60,"Soltera - Remix",Lunay,76799,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
61,"Baila Baila Baila",Ozuna,76756,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
62,Chellam,Majoe,76322,https://open.spotify.com/track/2peLyxgJLUiCAksehkKJUq
63,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",75939,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
64,Mirador,Kezah,75597,https://open.spotify.com/track/4j5Bb0saeXmiz62XIZjcHj
65,"High Hopes","Panic! At The Disco",75501,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
66,"Contra La Pared","Sean Paul",75338,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
67,"In My Mind",Dynoro,74831,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
68,Malediven,MERO,73902,https://open.spotify.com/track/0H0MIfeqip6GKmafftx7kC
69,"Tel Me",Jul,73033,https://open.spotify.com/track/4He5TSvX6WhyTeiXpdFaCZ
70,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,71599,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
71,"Dans l'univers",Nekfeu,71357,https://open.spotify.com/track/3OmMEncU5Z8hZJVKwAMZpk
72,"MOWGLI II",PNL,70919,https://open.spotify.com/track/1w2OwBeojIZI8hTI5WkMkV
73,"Elle pleut",Nekfeu,70287,https://open.spotify.com/track/31ljIjVJOgopnyNposqPhm
74,"Hola Señorita",GIMS,69712,https://open.spotify.com/track/5vLEmh5EolySKTvXsyWSOg
75,"Hi Babe",Juju,69622,https://open.spotify.com/track/6erIvryBSsAdebNU4a7Mrs
76,"7 rings","Ariana Grande",69543,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
77,"Speechless (feat. Erika Sirola)","Robin Schulz",69232,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
78,EARFQUAKE,"Tyler, The Creator",69130,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
79,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",68695,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
80,Cheum,Nekfeu,66625,https://open.spotify.com/track/3eG36tERWexe2lm75Ea3Y8
81,"On My Way","Alan Walker",65288,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
82,"when the party's over","Billie Eilish",65120,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
83,"Mother's Daughter","Miley Cyrus",64512,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
84,"Giant (with Rag'n'Bone Man)","Calvin Harris",63629,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
85,Vintage,RIN,63281,https://open.spotify.com/track/6xwI9R3ZHT9nWtSYvffYQm
86,Pookie,"Aya Nakamura",63080,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD
87,"3 Nights","Dominic Fike",62973,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
88,"Elle est bonne sa mère",Vegedream,62667,https://open.spotify.com/track/6F8Caj9u2wk5hmbFuKK6Pa
89,Médicament,Niska,61915,https://open.spotify.com/track/55mCsKCo4bPuYtZvHppp8z
90,Wow.,"Post Malone",61263,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
