,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",317807,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,"UP IN SMOKE",RIN,289891,https://open.spotify.com/track/01vR5Z7AHinp9D2wu2BNQS
3,Vendetta,"RAF Camora",236971,https://open.spotify.com/track/28r8yfatcoOTY7ZjqhKaJM
4,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",224921,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
5,"Fendi Drip",Luciano,224753,https://open.spotify.com/track/1e9QSdX5uLUw6vbrkZJyXi
6,"Dance Monkey","Tones And I",188886,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,Roller,"Apache 207",185041,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
8,"Beautiful People (feat. Khalid)","Ed Sheeran",177012,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
9,"Nummer 1","Capital Bra",170658,https://open.spotify.com/track/3drwaFqLSEjqzjNRbjap0R
10,China,"Anuel AA",167682,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
11,"Someone You Loved","Lewis Capaldi",167235,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,Ransom,"Lil Tecca",162587,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
13,Primetime,"Summer Cem",160585,https://open.spotify.com/track/1pUaqU8EUStLTqERPzcp3O
14,"bad guy","Billie Eilish",155068,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,"Jean Paul Gaultier",Luciano,151718,https://open.spotify.com/track/56DP74K3QXG718EKuVIB2U
16,Yeah,Luciano,148625,https://open.spotify.com/track/0qpJmNY2DvYNj2MeqTHcYY
17,High,Sido,147735,https://open.spotify.com/track/406zkeKglOewTtDKfOo7FP
18,"Piece Of Your Heart",MEDUZA,147410,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
19,Intro-Résumé,"Miami Yacine",144208,https://open.spotify.com/track/7kQMPnMzK1bykUxmF4QXbV
20,"I Don't Care (with Justin Bieber)","Ed Sheeran",141459,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
21,Lalala,Y2K,133712,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
22,"Goodbyes (Feat. Young Thug)","Post Malone",127345,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
23,Eiskalt,Loredana,126787,https://open.spotify.com/track/52UVKsw31NTOCTNPTpwbFJ
24,"Old Town Road - Remix","Lil Nas X",125197,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
25,Tilidin,"Capital Bra",123299,https://open.spotify.com/track/1VEMUkGFio5uURvN8x1DZJ
26,Circles,"Post Malone",120873,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG
27,"Higher Love",Kygo,119552,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
28,"Rescue Me",OneRepublic,110330,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
29,"How Do You Sleep?","Sam Smith",108571,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
30,"It's You","Ali Gatie",108077,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
31,W.I.N.,Luciano,102782,https://open.spotify.com/track/3I0FLq3MqViqahFskPnmsG
32,Cadillac,Luciano,101924,https://open.spotify.com/track/1YPG8NGJrnX9a24BRjsWLI
33,JAMBO,"Takagi & Ketra",101729,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
