,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Wieder Lila",Samra,384220,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
2,"Marlboro Rot",Samra,300597,https://open.spotify.com/track/4e6l3QGj4RZesjDLVqYk3H
3,"She Got Me","Luca Hänni",297185,https://open.spotify.com/track/6TNK1SFt77MvTFoiTloiFQ
4,"I Don't Care (with Justin Bieber)","Ed Sheeran",280663,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
5,"bad guy","Billie Eilish",250627,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
6,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",223724,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
7,Vintage,RIN,222228,https://open.spotify.com/track/6xwI9R3ZHT9nWtSYvffYQm
8,"Old Town Road","Lil Nas X",208430,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
9,"Someone You Loved","Lewis Capaldi",204616,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,"Con Calma","Daddy Yankee",181337,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
11,Soldi,Mahmood,176401,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
12,Nautilus,Shindy,175235,https://open.spotify.com/track/7IkZpSOJKGXCGhqAvHs7FG
13,SOS,Avicii,171387,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
14,"The London (feat. J. Cole & Travis Scott)","Young Thug",164183,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
15,"Don't Call Me Up",Mabel,154029,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
16,Shallow,"Lady Gaga",137716,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
17,Sucker,"Jonas Brothers",135467,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
18,"Das Buch",Sido,134633,https://open.spotify.com/track/6SX4L6NKqcH42eY2gX6qoX
19,"Calma - Remix","Pedro Capó",133072,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
20,"If I Can't Have You","Shawn Mendes",130300,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
21,"Letzte Träne","Kontra K",126346,https://open.spotify.com/track/1FuJKBi6XdFyf8Yzmck468
22,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",122444,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
23,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",118401,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
24,"Cherry Lady","Capital Bra",117541,https://open.spotify.com/track/4j5WelE5mkf9A2jmts729h
25,Rolex,"Capital Bra",116839,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF
26,"Sweet but Psycho","Ava Max",115651,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
27,"Vermissen (feat. Henning May)",Juju,109359,https://open.spotify.com/track/1SSzM044DUbVpYNNHWIhYJ
28,"Always Remember Us This Way","Lady Gaga",108537,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
29,EARFQUAKE,"Tyler, The Creator",106775,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
30,"Go Loko (feat. Tyga, Jon Z)",YG,104389,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
31,"Gib Gas",Ufo361,102680,https://open.spotify.com/track/7MqL7uh6zGd8x0B9srz3r0
32,"cOcO MAmA",Dardan,100825,https://open.spotify.com/track/0oOPa0AlLnjCO6eci0HIdH
33,"So Am I","Ava Max",100339,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
34,Ghetto,Samra,100315,https://open.spotify.com/track/5h10tw9LYCWPFgqJttM2U0
35,"Te Robaré","Nicky Jam",98992,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
36,Arcade,"Duncan Laurence",98337,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
37,"Let Me Down Slowly","Alec Benjamin",95986,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
38,"11 PM",Maluma,95832,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
39,"Rescue Me",OneRepublic,94154,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
40,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",92905,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
41,Harami,Samra,92483,https://open.spotify.com/track/5xIODxqlpUnRVA9ewZUCug
42,"Wir ticken","Capital Bra",90867,https://open.spotify.com/track/1ag6DENIjtcmRFCx5JjUng
43,"High Hopes","Panic! At The Disco",90505,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
44,"Piece Of Your Heart",MEDUZA,90085,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
45,Hermès,"Gallo Nero",89225,https://open.spotify.com/track/5FlVWM4jmo1Lstc4TLJSex
46,"7 rings","Ariana Grande",88710,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
47,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,87293,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
48,"Baila Baila Baila",Ozuna,86501,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
49,"Never Go Back","Dennis Lloyd",86220,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
50,"Otro Trago",Sech,86185,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
51,"Au DD",PNL,85892,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu
52,"Bad Liar","Imagine Dragons",85156,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
53,"In My Mind",Dynoro,83049,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
54,HP,Maluma,81052,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
55,"Soltera - Remix",Lunay,80850,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
56,Barrio,Olexesh,80839,https://open.spotify.com/track/3mbGX2yy83BtCiPO59mE5r
57,Isis,"Joyner Lucas",78083,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
58,"Speechless (feat. Erika Sirola)","Robin Schulz",76431,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
59,"On My Way","Alan Walker",76170,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
60,"when the party's over","Billie Eilish",76104,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
61,Punto,"Loco Escrito",75382,https://open.spotify.com/track/17Xaa5Iikz9Mhqzkgg4Wy4
62,Zemër,Soolking,75263,https://open.spotify.com/track/68av1mZz0VsIYXJWATZWUW
63,"Giant (with Rag'n'Bone Man)","Calvin Harris",74426,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
64,"Fliegst Du mit","SHIRIN DAVID",73983,https://open.spotify.com/track/7d5OMedGbW3CZwFfiNMGeI
65,Prinzessa,"Capital Bra",72333,https://open.spotify.com/track/0Tq0EhQpVeQJwV3E3P5Jti
66,"Contra La Pared","Sean Paul",72072,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
67,"bury a friend","Billie Eilish",71990,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
68,"Truth Hurts",Lizzo,71954,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
69,Wow.,"Post Malone",71768,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
70,"Shoote ma Shoote",Samra,70665,https://open.spotify.com/track/7FOQJQcTDqzXZJ72hZikCl
71,"Hola Señorita",GIMS,70428,https://open.spotify.com/track/5vLEmh5EolySKTvXsyWSOg
72,Quarterback,"KC Rebell",70010,https://open.spotify.com/track/0WGG3xWyW6AlXOaW6CHu4A
73,Médicament,Niska,70008,https://open.spotify.com/track/55mCsKCo4bPuYtZvHppp8z
74,"Blei (feat. Veysel)","Kontra K",69403,https://open.spotify.com/track/0Cy2x4vkNHiZ2Z3XiZE5Yu
75,DNA,"KC Rebell",69379,https://open.spotify.com/track/43DtCXAz2qUJ4YiTX6ICT0
76,DEUTSCHLAND,Rammstein,69237,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
77,Arc-en-ciel,Booba,69136,https://open.spotify.com/track/07qHCBBSRswIsfs0waYdjC
78,Easier,"5 Seconds of Summer",66885,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
79,"Not Ok",Kygo,66766,https://open.spotify.com/track/6aoGtdWXBkYQ2O2wnyIz2x
80,"Sunset Lover","Petit Biscuit",66393,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
81,"Here With Me",Marshmello,65730,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
82,Nightmare,Halsey,65682,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
83,"Be Alright","Dean Lewis",65440,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
84,"Wie im Traum","Ardian Bujupi",64979,https://open.spotify.com/track/3ld409h4DdrdPJzEdeU1WS
85,"lovely (with Khalid)","Billie Eilish",64799,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
86,"Maman ne le sait pas (feat. Niska)",Ninho,64511,https://open.spotify.com/track/5c2HadbVTsMKjja4gohEFI
87,"Wolke 10",MERO,63891,https://open.spotify.com/track/200cTjC6si5Xz9af2QeHi2
88,"Verte Ir","DJ Luian",63480,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
89,"Talk (feat. Disclosure)",Khalid,63447,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
90,"Power Over Me","Dermot Kennedy",63206,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
91,Affalterbach,Shindy,63194,https://open.spotify.com/track/1L8LtC2s161XwY6YrtnQjw
92,Happier,Marshmello,62633,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
93,Perdono,LX,62605,https://open.spotify.com/track/6vqwNBT87x37nNvfmuNTaJ
94,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",62250,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
95,"Bye Bye","Capital Bra",62131,https://open.spotify.com/track/60yqRJXgkrPEvP977ZIOWb
96,sOrrY,Dardan,61442,https://open.spotify.com/track/3NhRXvQITM1OFwSpsMOYxx
97,"Homicide (feat. Eminem)",Logic,61172,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
98,Benzema,"Capital Bra",60940,https://open.spotify.com/track/0gyO8zq1Hw5GTQ33EXcc40
99,"3 Nights","Dominic Fike",60909,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
100,"Balance ton quoi",Angèle,60750,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa
101,"i'm so tired...",Lauv,59832,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
102,"Without Me",Halsey,59653,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
103,"Für immer uf di","Patent Ochsner",59586,https://open.spotify.com/track/03qgnFtJlddquRV1Edde9i
104,"Alles was sie will","Kontra K",58476,https://open.spotify.com/track/6kmpeu6dXy6DPjOHv3NAeT
105,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",58121,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
106,Alleen,"KC Rebell",57048,https://open.spotify.com/track/0geta4Y77R76wvOVlGWnsl
107,"Pa Mí - Remix",Dalex,56552,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
108,Paradise,Bazzi,56497,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
109,"Body (feat. brando)","Loud Luxury",56451,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
110,Next,Ufo361,56083,https://open.spotify.com/track/1x4MJYA9mJRph3fygU51K4
111,Suge,DaBaby,55759,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
112,"3% (feat. ENO)","Moe Phoenix",55758,https://open.spotify.com/track/2K2yh8b6EAP595unnz6Vel
113,"Get You The Moon (feat. Snøw)",Kina,54791,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
114,"Bohemian Rhapsody - 2011 Mix",Queen,53883,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
115,"Con Altura",ROSALÍA,53354,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
116,"What I Like About You (feat. Theresa Rex)","Jonas Blue",53163,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ
117,"500 PS","Bonez MC",53021,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
118,"RR 9.1","Koba LaD",53020,https://open.spotify.com/track/28fP6qcMGPfYOjrx8AOWFn
119,AUSLÄNDER,Rammstein,52217,https://open.spotify.com/track/7j43FohbLVulScL7S9sQZk
120,Sixteen,"Ellie Goulding",51634,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
121,"MIA (feat. Drake)","Bad Bunny",51292,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
122,"Bones (feat. OneRepublic)",Galantis,51289,https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv
123,"Tough Love",Avicii,50848,https://open.spotify.com/track/4XZxalvnG4Yo8YZLuiT1kV
124,"Blackberry Sky",Eno,50687,https://open.spotify.com/track/11rBlJlRoWNj69twOOki03
125,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",50465,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
126,RADIO,Rammstein,50188,https://open.spotify.com/track/5vZ4IeUenK2cHub2d7yfWk
127,Earth,"Lil Dicky",49628,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
128,"break up with your girlfriend, i'm bored","Ariana Grande",49418,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
129,"Eastside (with Halsey & Khalid)","benny blanco",49383,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
130,"Shape of You","Ed Sheeran",49326,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
131,"ZEIG DICH",Rammstein,48866,https://open.spotify.com/track/3d3k8g4GTVx9EFIFlOZOEX
132,"Dancing With A Stranger (with Normani)","Sam Smith",48855,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
133,Rise,"Jonas Blue",48532,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
134,"Ohne Sinn","Sero El Mero",48499,https://open.spotify.com/track/7KO3iofeNz34vOQgSnKuU1
135,"Just You and I","Tom Walker",48425,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
136,"Say My Name","David Guetta",48113,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
137,"Wie Papa",Sido,47720,https://open.spotify.com/track/1qr2aRlz6DfGg5jjcUTW9y
138,Moonlight,Gaullin,47430,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW
139,"Baila Baila Baila - Remix",Ozuna,47340,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
140,"Happy Now",Kygo,47126,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
141,"Wild Stare","Giant Rooks",46940,https://open.spotify.com/track/2SClPoLfPJmwrr3EyfgRTS
142,"Clout (feat. Cardi B)",Offset,46931,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
143,"Just Us (feat. SZA)","DJ Khaled",46195,https://open.spotify.com/track/0BnTBAGmr9FtYwkZrwKhwS
144,079,"Lo & Leduc",45463,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9
145,"Weiß noch nicht wie",Bausa,45388,https://open.spotify.com/track/6JEgz5rwcQb9Adx3EuEsos
146,Secreto,"Anuel AA",45292,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
147,"Tausend Tattoos",Sido,45272,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
148,Pookie,"Aya Nakamura",45037,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD
149,Nevermind,"Dennis Lloyd",44880,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
150,"wish you were gay","Billie Eilish",44732,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
151,"Don't Stop Me Now - 2011 Mix",Queen,44625,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
152,Bruises,"Lewis Capaldi",44616,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
153,Mary,Bausa,44596,https://open.spotify.com/track/6BZhkqUtaFJm57Hm5TTQSH
154,"Baller los",MERO,44433,https://open.spotify.com/track/1uNzKXVNwq7jwV0rhjXqLB
