,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Eastside (with Halsey & Khalid)","benny blanco",72967,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
58,"Body (feat. brando)","Loud Luxury",72450,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
59,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",72244,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
60,"Power Over Me","Dermot Kennedy",72139,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
61,Trampoline,SHAED,71359,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
62,"SICKO MODE","Travis Scott",71129,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
63,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",70787,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
64,Robbery,"Juice WRLD",70304,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV
65,lovely,"Billie Eilish",69699,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
66,Soldi,Mahmood,69054,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
67,"Pure Water (with Migos)",Mustard,68555,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
68,"Let You Love Me","Rita Ora",68362,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
69,"Who Do You Love","The Chainsmokers",67919,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
70,"Promises (with Sam Smith)","Calvin Harris",67850,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
71,Lelele,Azet,66723,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX
72,"Legacy (feat. Travis Scott & 21 Savage)",Offset,65314,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99
73,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,64704,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
74,"Perfekt (feat. Sofiane)","RAF Camora",63697,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr
75,JAJA,Fero47,63103,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf
76,"a lot","21 Savage",62583,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
77,"Better Now","Post Malone",61401,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
78,"Happy Now",Kygo,60098,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
