,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,Youngblood,"5 Seconds of Summer",75418,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
55,"Let Me Down Slowly","Alec Benjamin",75211,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
56,Happier,Marshmello,74592,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
57,"Dancing With A Stranger (with Normani)","Sam Smith",73176,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
58,Shotgun,"George Ezra",72912,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
59,"lovely (with Khalid)","Billie Eilish",72322,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
60,"Time - Edit",NF,71730,https://open.spotify.com/track/1gZFRYcPz3wKevEaNYRwfW
61,"MIDDLE CHILD","J. Cole",71552,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
62,Vibes,SIX60,70431,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
63,"RNP (feat. Anderson .Paak)",Cordae,69985,https://open.spotify.com/track/5lw8Mgb4LyhriPIC86gV6e
64,"One Thing Right",Marshmello,69718,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
65,I.F.L.Y.,Bazzi,69421,https://open.spotify.com/track/4R9ATNRRl1uth17i5qDCc0
66,"Just Us (feat. SZA)","DJ Khaled",68844,https://open.spotify.com/track/0BnTBAGmr9FtYwkZrwKhwS
67,"7 rings","Ariana Grande",67431,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
68,"Only Human","Jonas Brothers",66943,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
69,"Come Home","Sons Of Zion",66676,https://open.spotify.com/track/2ASU8fV9hVvE2Aa0r8lrwE
70,"Without Me",Halsey,66084,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
71,Soaked,BENEE,64442,https://open.spotify.com/track/4zIiarkbaDt2cm6sukb1Xt
72,"Old Town Road (feat. RM of BTS) - Seoul Town Road Remix","Lil Nas X",63698,https://open.spotify.com/track/6woeVu3fVMflqen1t4N6pg
73,Suge,DaBaby,63436,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
74,"Be Alright","Dean Lewis",63017,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
75,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",62110,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg
76,Painkiller,Ruel,62027,https://open.spotify.com/track/1abFkY2jm6KDFMZ7RD9YJh
77,"Bohemian Rhapsody - 2011 Mix",Queen,62019,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
78,"Vossi Bop",Stormzy,61978,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
79,"Mother's Daughter","Miley Cyrus",61596,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
80,"rockstar (feat. 21 Savage)","Post Malone",61410,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
81,"bury a friend","Billie Eilish",61380,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
82,"Good As Hell",Lizzo,61223,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
83,"I Don't Belong In This Club","Why Don't We",61127,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx
84,"Dreams - 2004 Remaster","Fleetwood Mac",60706,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
85,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",60685,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
86,"Body (feat. brando)","Loud Luxury",60358,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
87,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",59282,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
88,"i'm so tired...",Lauv,59278,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
89,"Hate Me (with Juice WRLD)","Ellie Goulding",58896,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
90,"wish you were gay","Billie Eilish",58875,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
91,"Better Now","Post Malone",58778,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
92,"I Fall Apart","Post Malone",58682,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
93,Africa,TOTO,58680,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
94,"SICKO MODE","Travis Scott",57452,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
95,"Say You Won't Let Go","James Arthur",56925,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
96,2002,Anne-Marie,56769,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
97,"Don’t Forget Your Roots",SIX60,56147,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB
98,"I Like Me Better",Lauv,55774,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
99,"Taste (feat. Offset)",Tyga,55765,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
100,Rodeo,"Lil Nas X",55517,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
101,"Sweet but Psycho","Ava Max",55487,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
102,"Homicide (feat. Eminem)",Logic,55239,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg
103,"Find U Again (feat. Camila Cabello)","Mark Ronson",55055,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
104,Give,"Stan Walker",54817,https://open.spotify.com/track/1a7iNqElTpHdq92rZ2WYyG
105,"Easy - Remix",DaniLeigh,54735,https://open.spotify.com/track/4CMrdHWqic0usIZfTrKoI3
106,"Post Malone (feat. RANI)","Sam Feldt",54675,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
107,"Shape of You","Ed Sheeran",54628,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
108,"Always Remember Us This Way","Lady Gaga",54017,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
109,"Mr. Brightside","The Killers",53785,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
110,"Pop Out (feat. Lil Tjay)","Polo G",53424,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
111,"thank u, next","Ariana Grande",53361,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
112,"Pure Water (with Migos)",Mustard,53350,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
113,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",53257,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
114,"Gold Roses (feat. Drake)","Rick Ross",52968,https://open.spotify.com/track/4aPB8rSxGFISs0o6V2LrTy
115,"Tiny Dancer","Elton John",52446,https://open.spotify.com/track/2TVxnKdb3tqe1nhQWwwZCO
116,"Don't Stop Believin'",Journey,52239,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
117,"Don’t Give It Up",SIX60,51255,https://open.spotify.com/track/5YOqfElMeshCt5oRk4yAgx
118,"Lucid Dreams","Juice WRLD",51152,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
119,"Murder On My Mind","YNW Melly",50561,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
120,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",50411,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
121,"Lost In Japan","Shawn Mendes",50392,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
122,"Don't Give Up On Me - (From ""Five Feet Apart"")","Andy Grammer",50348,https://open.spotify.com/track/5A3fPy30SN2wuzrahpcxvV
123,"Girls Like You (feat. Cardi B)","Maroon 5",50346,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
124,"Going Bad (feat. Drake)","Meek Mill",50314,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
