,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",546014,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2,"break up with your girlfriend, i'm bored","Ariana Grande",503204,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
3,"bury a friend","Billie Eilish",399014,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
4,Wow.,"Post Malone",342437,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",339239,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,"thank u, next","Ariana Grande",289982,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
7,"Without Me",Halsey,248301,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,"Dancing With A Stranger (with Normani)","Sam Smith",229675,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
9,"Sweet but Psycho","Ava Max",229076,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
10,needy,"Ariana Grande",228571,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
11,bloodline,"Ariana Grande",224293,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
12,NASA,"Ariana Grande",219292,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
13,Shallow,"Lady Gaga",216038,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
14,"MIDDLE CHILD","J. Cole",212065,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
15,Happier,Marshmello,210517,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,Talk,Khalid,200847,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
17,"fake smile","Ariana Grande",199427,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ
18,"bad idea","Ariana Grande",199261,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
