,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ROXANNE,"Arizona Zervas",435464,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
2,"Dance Monkey","Tones And I",348918,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Circles,"Post Malone",291231,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,Memories,"Maroon 5",282021,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Catching Feelings (feat. SIX60)","Drax Project",270191,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
6,"hot girl bummer",blackbear,259693,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
7,"Don't Start Now","Dua Lipa",259528,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"everything i wanted","Billie Eilish",256673,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,"Please Don't Go",SIX60,248475,https://open.spotify.com/track/5caY6lIFeI2du0TpgCSRP1
10,"The Greatest",SIX60,224255,https://open.spotify.com/track/2OmbLtdHJn3u9haCQXODl6
11,"Ride It",Regard,215326,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
12,Glitter,BENEE,198939,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
13,Heartless,"The Weeknd",186509,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
14,Falling,"Trevor Daniel",181392,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,"HIGHEST IN THE ROOM","Travis Scott",181079,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
16,"Someone You Loved","Lewis Capaldi",177850,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"Lose You To Love Me","Selena Gomez",171673,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
18,"Trampoline (with ZAYN)",SHAED,166771,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
19,"10,000 Hours (with Justin Bieber)","Dan + Shay",164954,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
20,"All I Want for Christmas Is You","Mariah Carey",161979,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
21,"Watermelon Sugar","Harry Styles",158452,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
22,Señorita,"Shawn Mendes",158389,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
23,"Long Gone",SIX60,157829,https://open.spotify.com/track/4PFAQAuJ9dEgamYO88Zp9P
24,Engineers,"Hp Boyz",156613,https://open.spotify.com/track/2WKAty6EEiV8Lt8dAnRAdy
25,Raining,SIX60,155759,https://open.spotify.com/track/2FUFFJNRIr0XnWWlL3zfYb
