,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",543065,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road","Lil Nas X",363352,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
3,"Talk (feat. Disclosure)",Khalid,304029,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
4,"wish you were gay","Billie Eilish",297271,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
5,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",281107,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
6,Sucker,"Jonas Brothers",241266,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",235975,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
8,"bury a friend","Billie Eilish",234825,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
9,Wow.,"Post Malone",232839,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
10,"Saturday Nights",Khalid,219158,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
11,"My Bad",Khalid,207569,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
12,"when the party's over","Billie Eilish",200559,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
13,Better,Khalid,197119,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
14,"Outta My Head (with John Mayer)",Khalid,181894,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
15,"i'm so tired...",Lauv,177406,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
16,"7 rings","Ariana Grande",171405,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
17,"break up with your girlfriend, i'm bored","Ariana Grande",170022,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
18,"all the good girls go to hell","Billie Eilish",169861,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
19,"Dancing With A Stranger (with Normani)","Sam Smith",167961,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
20,Shallow,"Lady Gaga",159771,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
21,"Here With Me",Marshmello,153483,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
22,"MONOPOLY (with Victoria Monét)","Ariana Grande",148479,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
23,"my strange addiction","Billie Eilish",148390,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
24,xanny,"Billie Eilish",147033,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
25,"MIDDLE CHILD","J. Cole",146188,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
26,"3 Nights","Dominic Fike",140749,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
27,"Eastside (with Halsey & Khalid)","benny blanco",138252,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
28,"Without Me",Halsey,137504,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
29,"Don't Call Me Up",Mabel,135998,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
30,"Murder On My Mind","YNW Melly",135840,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
31,"Kill This Love",BLACKPINK,135592,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
32,Soaked,BENEE,133111,https://open.spotify.com/track/5p80uI2FhYGQZJRfzy7mb6
33,"you should see me in a crown","Billie Eilish",130803,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
34,Happier,Marshmello,130504,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
35,"Please Me","Cardi B",129747,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
36,"i love you","Billie Eilish",125708,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
37,lovely,"Billie Eilish",125532,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
38,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",123045,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
39,"Let Me Down Slowly","Alec Benjamin",119808,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
40,"Sweet but Psycho","Ava Max",118735,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
41,ilomilo,"Billie Eilish",117779,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
42,"Who Do You Love","The Chainsmokers",117308,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
43,"Walk Me Home",P!nk,113732,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
44,Shotgun,"George Ezra",112035,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
45,"Giant (with Rag'n'Bone Man)","Calvin Harris",109034,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
46,"thank u, next","Ariana Grande",107042,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
47,"listen before i go","Billie Eilish",106404,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
48,"Body (feat. brando)","Loud Luxury",103673,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
49,"So Am I","Ava Max",97728,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
50,"Going Bad (feat. Drake)","Meek Mill",96428,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
51,"Always Remember Us This Way","Lady Gaga",95519,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
52,8,"Billie Eilish",93508,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r
53,"Be Alright","Dean Lewis",92473,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
54,"Don't Pretend (feat. SAFE)",Khalid,88956,https://open.spotify.com/track/1E6DEDWDKHoOW0fcFuDghV
