,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",517023,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
2,"bury a friend","Billie Eilish",420979,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",363714,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
4,Wow.,"Post Malone",347358,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
5,"Without Me",Halsey,259337,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"Sweet but Psycho","Ava Max",254074,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
7,"Dancing With A Stranger (with Normani)","Sam Smith",249116,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
8,"MIDDLE CHILD","J. Cole",238351,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
9,"thank u, next","Ariana Grande",221132,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
10,Shallow,"Lady Gaga",214157,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
11,Happier,Marshmello,211088,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,Better,Khalid,204278,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
13,"Eastside (with Halsey & Khalid)","benny blanco",197441,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
14,Shotgun,"George Ezra",191857,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
15,"Saturday Nights",Khalid,189659,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
16,Soaked,Bene,181998,https://open.spotify.com/track/70TEuKwiK0bd5phEQkbvT4
17,"Giant (with Rag'n'Bone Man)","Calvin Harris",171102,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
18,"SICKO MODE","Travis Scott",168939,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
19,"Body (feat. brando)","Loud Luxury",167234,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
20,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",164631,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
21,"when the party's over","Billie Eilish",157233,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
22,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",156660,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
23,"Always Remember Us This Way","Lady Gaga",144400,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
24,Undecided,"Chris Brown",143542,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
25,"Bad Liar","Imagine Dragons",143256,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
26,Hope,"The Chainsmokers",141667,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
27,"Going Bad (feat. Drake)","Meek Mill",135812,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
28,Youngblood,"5 Seconds of Summer",134607,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
29,"i'm so tired...",Lauv,134377,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
30,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,134121,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
31,"So Close",NOTD,129086,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
32,"Be Alright","Dean Lewis",127526,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
33,"Love Someone","Lukas Graham",126421,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
34,"a lot","21 Savage",124791,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
35,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",123725,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
36,Vibes,SIX60,123160,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
37,"Promises (with Sam Smith)","Calvin Harris",121776,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
38,"Let You Love Me","Rita Ora",121645,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
39,"Mo Bamba","Sheck Wes",119855,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
40,lovely,"Billie Eilish",119727,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
41,"High Hopes","Panic! At The Disco",119356,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
42,Thotiana,Blueface,115994,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
43,"Look Back at It","A Boogie Wit da Hoodie",114188,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
