,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Wake Up in the Sky","Gucci Mane",86764,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
57,"I Fall Apart","Post Malone",84657,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
58,"This Feeling","The Chainsmokers",82808,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
59,1999,"Charli XCX",80939,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8
60,Africa,TOTO,80754,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
61,Moonlight,XXXTENTACION,79170,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
62,"I Like It","Cardi B",78193,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
63,"Psycho (feat. Ty Dolla $ign)","Post Malone",78148,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
64,"I Love It (& Lil Pump)","Kanye West",74070,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
65,Toto,"Drax Project",74044,https://open.spotify.com/track/5JH1NuPiHEB0Wl03rLHNq7
66,"Look Back at It","A Boogie Wit da Hoodie",73988,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
67,"come out and play","Billie Eilish",73012,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
68,"Lost In Japan - Remix","Shawn Mendes",72115,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv
69,"Beautiful (feat. Camila Cabello)",Bazzi,71519,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
70,"God's Plan",Drake,70588,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
71,"Don’t Give It Up",SIX60,70520,https://open.spotify.com/track/5YOqfElMeshCt5oRk4yAgx
72,"Jocelyn Flores",XXXTENTACION,70433,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
73,idontwannabeyouanymore,"Billie Eilish",70317,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
74,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",69554,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
75,"In My Feelings",Drake,69324,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
76,"I'll Be There","Jess Glynne",69068,https://open.spotify.com/track/73FebDuELlAEinHw1xWJCZ
77,"Drift Away","Sons Of Zion",68782,https://open.spotify.com/track/2bx4jOMWpCbemnnRWfsMbx
78,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",68591,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
79,"Shape of You","Ed Sheeran",68354,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
80,"a lot","21 Savage",68192,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
81,"Kiss and Make Up","Dua Lipa",67571,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
82,"Ready Or Not","Church & AP",67493,https://open.spotify.com/track/2TejqRoFYkv0j77YGqnhFs
83,"Woman Like Me (feat. Nicki Minaj)","Little Mix",67027,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
84,"I Like Me Better",Lauv,66662,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
85,"Woke Up Late","Drax Project",66656,https://open.spotify.com/track/4wrct9Dl3MSuszkggIpvbK
86,"no tears left to cry","Ariana Grande",65935,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
87,"Love Lies (with Normani)",Khalid,64103,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
88,"Falling Down - Bonus Track","Lil Peep",63868,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
89,"How To Fly","Sticky Fingers",63810,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS
90,breathin,"Ariana Grande",62009,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
