,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Fresa,TINI,1690372,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
2,"RITMO (Bad Boys For Life)","Black Eyed Peas",1624270,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
3,China,"Anuel AA",1575764,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
4,Goteo,Duki,1490426,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3
5,"Que Tire Pa Lante","Daddy Yankee",1476683,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
6,"Adicto (with Anuel AA & Ozuna)",Tainy,1448149,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
7,"Si Te Vas",Sech,1362434,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
8,Quizas,"Rich Music LTD",1300305,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
9,Tutu,Camilo,1240641,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
10,Oye,TINI,1211700,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE
11,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",1180109,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
12,CANGURO,WOS,1142320,https://open.spotify.com/track/2UAWYufVaO3EnUUNzl0ppO
13,"No Me Conoce - Remix","Jhay Cortez",1091822,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
14,Fantasias,"Rauw Alejandro",1074102,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
15,Callaita,"Bad Bunny",998539,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
16,"LA CANCIÓN","J Balvin",986483,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
17,"Yo x Ti, Tu x Mi",ROSALÍA,948842,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
