,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Fresa,TINI,1796318,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
2,China,"Anuel AA",1662139,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
3,"Adicto (with Anuel AA & Ozuna)",Tainy,1544526,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
4,Goteo,Duki,1497518,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
5,"Si Te Vas",Sech,1420864,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
6,Oye,TINI,1336324,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE
7,Quizas,"Rich Music LTD",1334526,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
8,CANGURO,WOS,1332876,https://open.spotify.com/track/2UAWYufVaO3EnUUNzl0ppO
9,Tutu,Camilo,1316492,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
10,"Que Tire Pa Lante","Daddy Yankee",1246275,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
11,"RITMO (Bad Boys For Life)","Black Eyed Peas",1214299,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
12,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",1195431,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
13,"No Me Conoce - Remix","Jhay Cortez",1193520,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
14,Fantasias,"Rauw Alejandro",1096983,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
15,Callaita,"Bad Bunny",1058399,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
16,"LA CANCIÓN","J Balvin",1042063,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
17,"Yo x Ti, Tu x Mi",ROSALÍA,1000321,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
18,C90,"John C",986742,https://open.spotify.com/track/3ys72Tl1Texh8GM1OKaKor
19,"MELÓN VINO",WOS,969624,https://open.spotify.com/track/5uHAzGa4d9j35DEbhUwGhi
